Assembly	Best match locus	Best match type	Match confidence	Problems	Coverage	Identity	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details
GCA_900452075.1_31701_A02_genomic	KL8	K8	None	-*	100.00%	99.73%	-19 bp	10 / 18 (55.6%)	KL8_01_galF,100.0%;KL8_02_cpsACP,100.0%;KL8_03_wzi,100.0%;KL8_04_wza,100.0%;KL8_05_wzb,99.31%;KL8_07_wzy,100.0%;KL8_08_wcsG,100.0%;KL8_10_wcsI,100.0%;KL8_11_wcsJ,90.488%;KL8_17_gnd,99.346%	KL8_06_wzc;KL8_09_wcsH;KL8_12_wcsK;KL8_13_wcsL;KL8_14_wcsM;KL8_15_wzx;KL8_16_wcaJ;KL8_18_ugd	0		0 / 18 (0%)		2	KL150_19_gmd,99.403%;KL40_04,82.324%
GCA_900452085.1_41315_H02_genomic	KL5	K5	None	-	61.63%	99.56%	-9147 bp	9 / 19 (47.4%)	KL5_01_galF,99.331%;KL5_09,100.0%;KL5_12,99.091%;KL5_13,100.0%;KL5_15_wcaJ,99.359%;KL5_16_gnd,100.0%;KL5_17_manC,99.576%;KL5_18_manB,99.562%;KL5_19_ugd,100.0%	KL5_02_cpsACP;KL5_03_wzi;KL5_04_wza;KL5_05_wzb;KL5_06_wzc;KL5_07;KL5_08_wzx;KL5_10;KL5_11;KL5_14	0		0 / 19 (0%)		2	KL40_05_rfaG,97.368%;KL150_19_gmd,99.403%
GCA_900452095.1_37430_A01_genomic	KL46	K46	High	-*	100.00%	93.56%	-9 bp	18 / 20 (90%)	KL46_01_galF,100.0%;KL46_02_cpsACP,93.333%;KL46_03_wzi,96.875%;KL46_04_wza,98.417%;KL46_05_wzb,97.917%;KL46_06_wzc,97.087%;KL46_07_wcaJ,97.059%;KL46_08_wcuD,89.231%;KL46_09_wzy,95.037%;KL46_10_wcuC,86.765%;KL46_11_wcuI,90.504%;KL46_12_wcuF,91.736%;KL46_14_wclT,95.149%;KL46_16_wckQ,89.928%;KL46_17_gnd,99.36%;KL46_18_manC,99.364%;KL46_19_manB,100.0%;KL46_20_ugd,99.743%	KL46_13_wcuV;KL46_15_wzx	0		0 / 20 (0%)		2	KL40_05_rfaG,97.368%;KL150_19_gmd,99.104%
GCA_900452115.1_36252_A01_genomic	KL35	K35	None	-	100.00%	99.92%	+16 bp	14 / 20 (70%)	KL35_01_galF,100.0%;KL35_02_cpsACP,100.0%;KL35_03_wzi,100.0%;KL35_04_wza,100.0%;KL35_05_wzb,100.0%;KL35_06_wzc,100.0%;KL35_07_wzy,100.0%;KL35_08_wcuC,100.0%;KL35_14_wbaZ,100.0%;KL35_16_wclK,100.0%;KL35_17_gnd,100.0%;KL35_18_manC,100.0%;KL35_19_manB,100.0%;KL35_20_ugd,100.0%	KL35_09_wckM;KL35_10_wckL;KL35_11_wcuQ;KL35_12_wzx;KL35_13_wckK;KL35_15_wcaJ	0		0 / 20 (0%)		3	KL30_19_manB,98.929%;KL150_19_gmd,99.403%;KL150_20_manC,99.696%
GCA_900452125.1_31289_F01_genomic	KL3	K3	None	-+*	100.00%	99.35%	+1346 bp	9 / 19 (47.4%)	KL3_01_galF,100.0%;KL3_05_wzb,97.931%;KL3_06_wzc,85.155%;KL3_07_wcaJ,99.79%;KL3_09,99.115%;KL3_16_gnd,99.795%;KL3_17_manC,99.576%;KL3_18_manB,99.562%;KL3_19_ugd,100.0%	KL3_02_cpsACP;KL3_03_wzi;KL3_04_wza;KL3_08;KL3_10_pglJ;KL3_11;KL3_12;KL3_13_wzx;KL3_14;KL3_15_wbaZ	1	KL114_03_wzi,96.98%	0 / 19 (0%)		0	
GCA_900452135.1_52579_E01_genomic	KL3	K3	Very high		100.00%	99.49%	+1325 bp	19 / 19 (100%)	KL3_01_galF,100.0%;KL3_02_cpsACP,96.97%;KL3_03_wzi,99.792%;KL3_04_wza,100.0%;KL3_05_wzb,97.931%;KL3_06_wzc,98.755%;KL3_07_wcaJ,99.58%;KL3_08,100.0%;KL3_09,99.115%;KL3_10_pglJ,99.718%;KL3_11,99.728%;KL3_12,99.483%;KL3_13_wzx,99.16%;KL3_14,99.511%;KL3_15_wbaZ,100.0%;KL3_16_gnd,99.795%;KL3_17_manC,99.576%;KL3_18_manB,99.562%;KL3_19_ugd,100.0%		0		0 / 19 (0%)		4	KL40_04,99.504%;KL40_05_rfaG,99.738%;KL150_19_gmd,98.209%;KL150_19_gmd,84.384%
GCA_900452145.2_36252_E01_genomic	KL17	K17	None	-	100.00%	98.47%	+11 bp	16 / 20 (80%)	KL17_01_galF,100.0%;KL17_02_cpsACP,98.571%;KL17_03_wzi,98.117%;KL17_04_wza,99.471%;KL17_05_wzb,100.0%;KL17_06_wzc,99.862%;KL17_07_wzy,98.874%;KL17_12_wcaJ,99.571%;KL17_13_wcmZ,99.674%;KL17_14_wzx,100.0%;KL17_15_gnd,99.36%;KL17_16_rmlB,99.437%;KL17_17_rmlA,100.0%;KL17_18_rmlD,100.0%;KL17_19_rmlC,99.459%;KL17_20_ugd,99.486%	KL17_08_wctR;KL17_09_wctS;KL17_10_wctT;KL17_11_wctU	0		0 / 20 (0%)		1	KL150_19_gmd,88.955%
GCA_900452155.1_36725_F01_genomic	KL25	K25	None	-+*	100.00%	99.61%	+25 bp	8 / 14 (57.1%)	KL25_03_wzi,99.791%;KL25_06_wzc,99.861%;KL25_08_wzy,95.767%;KL25_10,100.0%;KL25_11_wcuB,100.0%;KL25_12_wzx,99.299%;KL25_13_gnd,81.489%;KL25_14_ugd,100.0%	KL25_01_galF;KL25_02_cpsACP;KL25_04_wza;KL25_05_wzb;KL25_07_wcaJ;KL25_09_wfeD	1	KL13_02_cpsACP,92.265%	0 / 14 (0%)		2	KL150_20_manC,99.392%;KL150_19_gmd,89.552%
GCA_900452165.1_41315_F02_genomic	KL3	K3	None	-+*	100.00%	99.31%	+779 bp	7 / 19 (36.8%)	KL3_01_galF,99.666%;KL3_02_cpsACP,86.522%;KL3_03_wzi,88.0%;KL3_09,99.7%;KL3_10_pglJ,100.0%;KL3_13_wzx,99.556%;KL3_16_gnd,93.333%	KL3_04_wza;KL3_05_wzb;KL3_06_wzc;KL3_07_wcaJ;KL3_08;KL3_11;KL3_12;KL3_14;KL3_15_wbaZ;KL3_17_manC;KL3_18_manB;KL3_19_ugd	1	KL156-D1_17_ugd,80.836%	0 / 19 (0%)		3	KL40_05_rfaG,98.684%;KL150_19_gmd,98.806%;KL150_19_gmd,84.685%
GCA_900452175.1_36252_F01_genomic	KL124	unknown (KL124)	None	-*	100.00%	99.58%	+7 bp	18 / 22 (81.8%)	KL124_01_galF,99.666%;KL124_02_cpsACP,98.571%;KL124_03_wzi,100.0%;KL124_04_wza,100.0%;KL124_05_wzb,100.0%;KL124_06_wzc,99.861%;KL124_07_wbaP,100.0%;KL124_08_wctK,100.0%;KL124_11_wzy,86.616%;KL124_14_wcaL,100.0%;KL124_15_wzx,100.0%;KL124_16_gnd,100.0%;KL124_17_wclK,99.515%;KL124_18_rmlB,99.718%;KL124_19_rmlA,100.0%;KL124_20_rmlD,100.0%;KL124_21_rmlC,98.919%;KL124_22_ugd,99.743%	KL124_09_wcuP;KL124_10_wclJ;KL124_12;KL124_13_wcuA	0		0 / 22 (0%)		2	KL40_05_rfaG,98.158%;KL150_19_gmd,99.104%
GCA_900452185.1_31769_G01_genomic	KL1	K1	None	-+*	100.00%	99.76%	+1076 bp	7 / 20 (35%)	KL1_02_cpsACP,100.0%;KL1_03_wzi,100.0%;KL1_05_wzb,100.0%;KL1_09_wzy,100.0%;KL1_10_wcsS,86.179%;KL1_13_wcaG,98.276%;KL1_14_wcaH,97.163%	KL1_01_galF;KL1_04_wza;KL1_06_wzc;KL1_07_wzx;KL1_08_wclY;KL1_11_wcsT;KL1_12_gmd;KL1_15_wcaI;KL1_16_wcaJ;KL1_17_gnd;KL1_18_manC;KL1_19_manB;KL1_20_ugd	2	KL156-D1_17_ugd,81.588%;KL137_19,100.0%	0 / 20 (0%)		3	KL40_04,99.504%;KL40_05_rfaG,99.738%;KL150_19_gmd,99.104%
GCA_900452195.1_36603_F01_genomic	KL61	K61	None	-+*	100.00%	96.48%	+9 bp	12 / 19 (63.2%)	KL61_02_cpsACP,95.238%;KL61_07_wclQ,95.627%;KL61_08_wcuQ,97.964%;KL61_09_wzy,97.778%;KL61_11_wzx,95.842%;KL61_13_wcuK,91.916%;KL61_14_wbaZ,98.182%;KL61_15_wcaJ,98.707%;KL61_16_gnd,99.78%;KL61_17_manC,99.576%;KL61_18_manB,100.0%;KL61_19_ugd,99.743%	KL61_01_galF;KL61_03_wzi;KL61_04_wza;KL61_05_wzb;KL61_06_wzc;KL61_10_wclP;KL61_12_wcqZ	2	KL114_03_wzi,96.644%;KL160_01_galF,87.222%	0 / 19 (0%)		3	KL14_19_manC,100.0%;KL1_19_manB,97.63%;KL150_19_gmd,99.104%
GCA_900452205.1_36252_C01_genomic	KL124	unknown (KL124)	None	-	100.00%	99.59%	+1345 bp	17 / 22 (77.3%)	KL124_01_galF,99.666%;KL124_02_cpsACP,98.571%;KL124_03_wzi,100.0%;KL124_04_wza,100.0%;KL124_05_wzb,100.0%;KL124_09_wcuP,100.0%;KL124_10_wclJ,100.0%;KL124_12,100.0%;KL124_13_wcuA,99.764%;KL124_14_wcaL,100.0%;KL124_15_wzx,100.0%;KL124_17_wclK,99.494%;KL124_18_rmlB,99.718%;KL124_19_rmlA,100.0%;KL124_20_rmlD,100.0%;KL124_21_rmlC,98.919%;KL124_22_ugd,99.743%	KL124_06_wzc;KL124_07_wbaP;KL124_08_wctK;KL124_11_wzy;KL124_16_gnd	0		0 / 22 (0%)		5	KL124_04_wza,100.0%;KL40_05_rfaG,98.158%;KL150_19_gmd,99.104%;KL114_03_wzi,96.321%;KL124_05_wzb,88.489%
GCA_900452235.1_38109_H02_genomic	KL34	K34	High	-	100.00%	99.94%	+9 bp	17 / 19 (89.5%)	KL34_01_galF,100.0%;KL34_03_wzi,100.0%;KL34_04_wza,100.0%;KL34_05_wzb,100.0%;KL34_06_wzc,100.0%;KL34_08_wcaJ,100.0%;KL34_09_rmlB,100.0%;KL34_10_rmlA,100.0%;KL34_11_rmlC,100.0%;KL34_12_rmlD,100.0%;KL34_13_wzy,100.0%;KL34_14_wclL,100.0%;KL34_15,100.0%;KL34_16,100.0%;KL34_17,99.565%;KL34_18_gnd,100.0%;KL34_19_ugd,100.0%	KL34_02_cpsACP;KL34_07_wcaA	0		0 / 19 (0%)		3	KL40_05_rfaG,97.895%;KL150_19_gmd,98.806%;KL150_19_gmd,84.639%
GCA_900452315.1_38187_F01_genomic	KL38	K38	Very high		100.00%	98.22%	+774 bp	17 / 17 (100%)	KL38_01_galF,100.0%;KL38_02_cpsACP,100.0%;KL38_03_wzi,97.083%;KL38_04_wza,99.208%;KL38_05_wzb,100.0%;KL38_06_wzc,99.723%;KL38_07_wcaJ,99.58%;KL38_08_wzy,99.756%;KL38_09_wctM,99.645%;KL38_10_wcaN,100.0%;KL38_11_wzx,99.539%;KL38_12_wckS,100.0%;KL38_13_wckR,99.709%;KL38_14,98.75%;KL38_15,99.651%;KL38_16_gnd,100.0%;KL38_17_ugd,99.743%		0		0 / 17 (0%)		1	KL150_19_gmd,98.507%
GCA_900452335.1_37637_H02_genomic	KL71	K71	High	-	100.00%	100.00%	+1 bp	20 / 21 (95.2%)	KL71_01_galF,100.0%;KL71_02_cpsACP,100.0%;KL71_03_wzi,100.0%;KL71_04_wza,100.0%;KL71_05_wzb,100.0%;KL71_06_wzc,100.0%;KL71_07_wcaA,100.0%;KL71_08_wcaJ,100.0%;KL71_09_wcqJ,100.0%;KL71_10_wcuP,100.0%;KL71_12,100.0%;KL71_13_wzy,100.0%;KL71_14_wcqK,100.0%;KL71_15_wzx,100.0%;KL71_16_gnd,100.0%;KL71_17_rmlB,100.0%;KL71_18_rmlA,100.0%;KL71_19_rmlD,100.0%;KL71_20_rmlC,100.0%;KL71_21_ugd,100.0%	KL71_11_wclI	0		0 / 21 (0%)		3	KL49_17_manC,99.576%;KL30_19_manB,99.143%;KL150_19_gmd,98.507%
GCA_900452365.1_37637_A01_genomic	KL12	K12	High	-	100.00%	99.89%	-7 bp	20 / 23 (87.0%)	KL12_01_galF,99.666%;KL12_02_cpsACP,100.0%;KL12_03_wzi,100.0%;KL12_04_wza,100.0%;KL12_05_wzb,100.0%;KL12_06_wzc,99.584%;KL12_07_wbaP,100.0%;KL12_08_wcaA,100.0%;KL12_09_wclN,100.0%;KL12_10_wclM,100.0%;KL12_11,100.0%;KL12_12_wzy,100.0%;KL12_15_wckH,99.711%;KL12_17_glf,100.0%;KL12_18_gnd,100.0%;KL12_19_rmlB,99.718%;KL12_20_rmlA,100.0%;KL12_21_rmlD,100.0%;KL12_22_rmlC,99.459%;KL12_23_ugd,100.0%	KL12_13_wckF;KL12_14_wckG;KL12_16_wzx	0		0 / 23 (0%)		2	KL40_05_rfaG,97.632%;KL150_19_gmd,98.806%
GCA_900452445.1_37637_G02_genomic	KL13	K13	Very high		100.00%	99.97%	0 bp	19 / 19 (100%)	KL13_01_galF,100.0%;KL13_02_cpsACP,100.0%;KL13_03_wzi,100.0%;KL13_04_wza,100.0%;KL13_05_wzb,100.0%;KL13_06_wzc,100.0%;KL13_07_wcuD,100.0%;KL13_08_wclX,99.742%;KL13_09_wzy,100.0%;KL13_10_wcuF,100.0%;KL13_11_wzx,100.0%;KL13_12_wcuL,99.685%;KL13_13_wcoW,100.0%;KL13_14,99.652%;KL13_15_wcaJ,100.0%;KL13_16_gnd,100.0%;KL13_17_manC,100.0%;KL13_18_manB,100.0%;KL13_19_ugd,100.0%		0		0 / 19 (0%)		1	KL150_19_gmd,100.0%
GCA_900452485.1_37554_C01_genomic	KL8	K8	High	-*	100.00%	99.83%	0 bp	17 / 18 (94.4%)	KL8_01_galF,82.781%;KL8_02_cpsACP,100.0%;KL8_03_wzi,100.0%;KL8_05_wzb,99.31%;KL8_06_wzc,99.723%;KL8_07_wzy,100.0%;KL8_08_wcsG,100.0%;KL8_09_wcsH,100.0%;KL8_10_wcsI,100.0%;KL8_11_wcsJ,100.0%;KL8_12_wcsK,100.0%;KL8_13_wcsL,100.0%;KL8_14_wcsM,100.0%;KL8_15_wzx,100.0%;KL8_16_wcaJ,100.0%;KL8_17_gnd,100.0%;KL8_18_ugd,99.743%	KL8_04_wza	0		0 / 18 (0%)		4	KL40_03_wcpO,97.773%;KL40_04,99.007%;KL40_05_rfaG,99.475%;KL150_19_gmd,99.403%
GCA_900452505.1_42842_G01_genomic	KL64	K64	Very high		100.00%	99.91%	0 bp	24 / 24 (100%)	KL64_01_galF,100.0%;KL64_02_cpsACP,100.0%;KL64_03_wzi,100.0%;KL64_04_wza,100.0%;KL64_05_wzb,100.0%;KL64_06_wzc,100.0%;KL64_07_wzx,99.803%;KL64_08_wcoV,100.0%;KL64_09,100.0%;KL64_10_wzy,100.0%;KL64_11_wcoU,99.693%;KL64_12_wcoT,99.71%;KL64_13_wcsF,99.733%;KL64_14_wcuK,100.0%;KL64_15_wbaZ,99.74%;KL64_16_wcaJ,100.0%;KL64_17_gnd,100.0%;KL64_18_manC,100.0%;KL64_19_manB,100.0%;KL64_20_rmlB,100.0%;KL64_21_rmlA,99.655%;KL64_22_rmlD,100.0%;KL64_23_rmlC,100.0%;KL64_24_ugd,100.0%		0		0 / 24 (0%)		2	KL40_05_rfaG,98.158%;KL150_19_gmd,98.806%
GCA_900452525.1_37509_C01_genomic	KL1	K1	None	-	100.00%	98.98%	-101 bp	8 / 20 (40%)	KL1_01_galF,99.331%;KL1_07_wzx,99.767%;KL1_08_wclY,99.72%;KL1_11_wcsT,99.415%;KL1_12_gmd,99.718%;KL1_17_gnd,99.776%;KL1_19_manB,99.781%;KL1_20_ugd,100.0%	KL1_02_cpsACP;KL1_03_wzi;KL1_04_wza;KL1_05_wzb;KL1_06_wzc;KL1_09_wzy;KL1_10_wcsS;KL1_13_wcaG;KL1_14_wcaH;KL1_15_wcaI;KL1_16_wcaJ;KL1_18_manC	0		0 / 20 (0%)		1	KL40_05_rfaG,98.889%
GCA_900452625.1_37430_G01_genomic	KL1	K1	None	-	100.00%	99.44%	-11 bp	16 / 20 (80%)	KL1_01_galF,99.331%;KL1_02_cpsACP,96.667%;KL1_03_wzi,99.582%;KL1_05_wzb,99.31%;KL1_06_wzc,97.654%;KL1_09_wzy,100.0%;KL1_10_wcsS,99.728%;KL1_11_wcsT,99.415%;KL1_12_gmd,100.0%;KL1_13_wcaG,99.424%;KL1_14_wcaH,100.0%;KL1_15_wcaI,99.753%;KL1_17_gnd,99.787%;KL1_18_manC,100.0%;KL1_19_manB,99.781%;KL1_20_ugd,100.0%	KL1_04_wza;KL1_07_wzx;KL1_08_wclY;KL1_16_wcaJ	0		0 / 20 (0%)		2	KL40_05_rfaG,97.632%;KL150_19_gmd,99.403%
GCA_900452635.1_37430_F01_genomic	KL66	K66	None	?-+	100.00%	99.83%	n/a	9 / 20 (45%)	KL66_01_galF,100.0%;KL66_02_cpsACP,100.0%;KL66_03_wzi,100.0%;KL66_04_wza,100.0%;KL66_06_wzc,100.0%;KL66_09_wzy,100.0%;KL66_17_gnd,100.0%;KL66_18_manC,100.0%;KL66_19_manB,100.0%	KL66_05_wzb;KL66_07_wbaP;KL66_08_wcuI;KL66_10_wckC;KL66_11_wcuD;KL66_12;KL66_13_wbaZ;KL66_14_wzx;KL66_15;KL66_16_wcqF;KL66_20_ugd	1	KL186_21_ugd,99.486%	0 / 20 (0%)		2	KL40_05_rfaG,82.632%;KL150_19_gmd,85.886%
GCA_900452725.1_38273_F01_genomic	KL55	K55	None	-*	100.00%	96.15%	+16 bp	16 / 20 (80%)	KL55_01_galF,98.662%;KL55_02_cpsACP,93.81%;KL55_03_wzi,98.536%;KL55_04_wza,100.0%;KL55_05_wzb,100.0%;KL55_07_wcaA,99.673%;KL55_08_wcaJ,99.57%;KL55_09_wcpH,99.25%;KL55_12_wcpJ,98.391%;KL55_14,98.592%;KL55_15_gnd,99.787%;KL55_16_rmlB,98.873%;KL55_17_rmlA,98.264%;KL55_18_rmlD,98.99%;KL55_19_rmlC,96.216%;KL55_20_ugd,100.0%	KL55_06_wzc;KL55_10_wcpI;KL55_11_wzy;KL55_13_wzx	0		0 / 20 (0%)		3	KL14_19_manC,99.788%;KL30_19_manB,99.136%;KL150_19_gmd,99.104%
GCA_900461375.1_44787_C01_genomic	KL1	K1	Very high		100.00%	99.49%	-1 bp	20 / 20 (100%)	KL1_01_galF,99.331%;KL1_02_cpsACP,96.667%;KL1_03_wzi,99.582%;KL1_04_wza,100.0%;KL1_05_wzb,100.0%;KL1_06_wzc,98.312%;KL1_07_wzx,99.767%;KL1_08_wclY,99.72%;KL1_09_wzy,100.0%;KL1_10_wcsS,99.728%;KL1_11_wcsT,99.415%;KL1_12_gmd,100.0%;KL1_13_wcaG,99.424%;KL1_14_wcaH,100.0%;KL1_15_wcaI,99.753%;KL1_16_wcaJ,99.359%;KL1_17_gnd,100.0%;KL1_18_manC,100.0%;KL1_19_manB,99.781%;KL1_20_ugd,100.0%		0		0 / 20 (0%)		2	KL40_05_rfaG,97.632%;KL150_19_gmd,99.403%
GCA_900461445.1_44503_B02_genomic	KL1	K1	Very high		100.00%	99.48%	-1 bp	20 / 20 (100%)	KL1_01_galF,99.331%;KL1_02_cpsACP,96.19%;KL1_03_wzi,99.582%;KL1_04_wza,100.0%;KL1_05_wzb,100.0%;KL1_06_wzc,98.172%;KL1_07_wzx,99.767%;KL1_08_wclY,99.72%;KL1_09_wzy,100.0%;KL1_10_wcsS,99.728%;KL1_11_wcsT,99.415%;KL1_12_gmd,100.0%;KL1_13_wcaG,99.424%;KL1_14_wcaH,100.0%;KL1_15_wcaI,99.753%;KL1_16_wcaJ,99.573%;KL1_17_gnd,99.787%;KL1_18_manC,100.0%;KL1_19_manB,99.781%;KL1_20_ugd,100.0%		0		0 / 20 (0%)		2	KL40_05_rfaG,97.632%;KL150_19_gmd,99.403%
GCA_900461465.1_33119_A02_genomic	KL57	K57	None	?-+*	99.12%	99.77%	n/a	10 / 18 (55.6%)	KL57_01_galF,86.379%;KL57_02_cpsACP,100.0%;KL57_04_wza,100.0%;KL57_05_wzb,100.0%;KL57_06_wzc,99.853%;KL57_07_wcaJ,99.79%;KL57_08_wzx,100.0%;KL57_09_wckX,100.0%;KL57_10_wckW,100.0%;KL57_11_wzy,100.0%	KL57_03_wzi;KL57_12;KL57_13_vanT;KL57_14_wbaZ;KL57_15_gnd;KL57_18_ugd	3	KL150_20_manC,99.696%;KL114_03_wzi,96.309%;KL137_19,99.457%	2 / 18 (11.1%)	KL57_16_manC,99.779%;KL57_17_manB,98.684%	2	KL57_04_wza,82.687%;KL57_05_wzb,83.108%
GCA_900461475.1_44787_F01_genomic	KL1	K1	Very high		100.00%	99.49%	-1 bp	20 / 20 (100%)	KL1_01_galF,99.331%;KL1_02_cpsACP,96.667%;KL1_03_wzi,99.582%;KL1_04_wza,100.0%;KL1_05_wzb,100.0%;KL1_06_wzc,98.172%;KL1_07_wzx,99.767%;KL1_08_wclY,99.72%;KL1_09_wzy,100.0%;KL1_10_wcsS,99.728%;KL1_11_wcsT,99.415%;KL1_12_gmd,100.0%;KL1_13_wcaG,99.424%;KL1_14_wcaH,100.0%;KL1_15_wcaI,99.753%;KL1_16_wcaJ,99.573%;KL1_17_gnd,99.787%;KL1_18_manC,100.0%;KL1_19_manB,99.781%;KL1_20_ugd,100.0%		0		0 / 20 (0%)		2	KL40_05_rfaG,97.632%;KL150_19_gmd,99.403%
GCA_900461485.1_31136_D01_genomic	KL4	K4	None	-+	100.00%	99.77%	+4677 bp	13 / 24 (54.2%)	KL4_01_galF,99.661%;KL4_02_cpsACP,100.0%;KL4_04_HG290,100.0%;KL4_05_HG291,100.0%;KL4_07_wzb,100.0%;KL4_09_HG292,100.0%;KL4_10_HG293,100.0%;KL4_12_wcsW,100.0%;KL4_13_HG296,100.0%;KL4_14_wcuD,98.559%;KL4_15_wzy,99.012%;KL4_17_wcuF,100.0%;KL4_18_manC,100.0%	KL4_03_wcuG;KL4_06_wza;KL4_08_wzc;KL4_11_wzx;KL4_16_wcuI;KL4_19_wzi;KL4_20_wza;KL4_21_wzb;KL4_22_wzc;KL4_23_wcaJ;KL4_24_gnd	1	KL114_03_wzi,95.364%	0 / 24 (0%)		4	KL13_18_manB,90.213%;KL1_20_ugd,100.0%;KL40_05_rfaG,97.895%;KL150_19_gmd,98.507%
GCA_900461495.1_36672_G01_genomic	KL107	unknown (KL107)	None	?-+*	52.98%	75.46%	n/a	1 / 16 (6.2%)	KL107_01_galF,90.97%	KL107_02_cpsACP;KL107_03_wzi;KL107_04_wza;KL107_05_wzb;KL107_06_wzc;KL107_07_wbaP;KL107_08;KL107_09;KL107_10;KL107_11_gnd;KL107_12;KL107_13;KL107_14;KL107_15;KL107_16_ugd	1	KL102_07_wbaP,94.503%	0 / 16 (0%)		0	
GCA_900461505.1_37554_D01_genomic	KL10	K10	High	-*	100.00%	96.73%	-20 bp	17 / 20 (85%)	KL10_01_galF,99.331%;KL10_02_cpsACP,94.762%;KL10_03_wzi,97.292%;KL10_04_wza,100.0%;KL10_05_wzb,99.31%;KL10_06_wzc,99.714%;KL10_07_wbaP,88.445%;KL10_08_wclQ,99.735%;KL10_11_wcuQ,96.927%;KL10_13_wcuK,98.521%;KL10_14_wzy,98.768%;KL10_15_wcsO,95.294%;KL10_16_wbaZ,98.966%;KL10_17_gnd,99.147%;KL10_18_manC,98.941%;KL10_19_manB,97.374%;KL10_20_ugd,99.743%	KL10_09_wclP;KL10_10_wzx;KL10_12_wcaN	0		0 / 20 (0%)		1	KL150_19_gmd,99.403%
GCA_900461515.1_37419_G01_genomic	KL29	K29	None	-+*	100.00%	99.78%	-2 bp	9 / 17 (52.9%)	KL29_01_galF,100.0%;KL29_04_wza,94.459%;KL29_07_wbaP,99.145%;KL29_10_wbaZ,100.0%;KL29_11_wckG,100.0%;KL29_12_wckH,100.0%;KL29_14_glf,96.448%;KL29_15_gnd,100.0%;KL29_17_manB,100.0%	KL29_02_cpsACP;KL29_03_wzi;KL29_05_wzb;KL29_06_wzc;KL29_08_wcuD;KL29_09_wcuE;KL29_13_wzx;KL29_16_manC	2	KL74_19_ugd,99.486%;KL114_03_wzi,85.085%	0 / 17 (0%)		1	KL150_19_gmd,84.776%
GCA_900478285.1_36005_G01_genomic	KL74	K74	None	-	100.00%	99.95%	+12 bp	12 / 19 (63.2%)	KL74_01_galF,100.0%;KL74_02_cpsACP,100.0%;KL74_03_wzi,100.0%;KL74_04_wza,100.0%;KL74_05_wzb,100.0%;KL74_08_wcuD,100.0%;KL74_09_wcuE,100.0%;KL74_12,100.0%;KL74_16_gnd,100.0%;KL74_17_manC,100.0%;KL74_18_manB,100.0%;KL74_19_ugd,100.0%	KL74_06_wzc;KL74_07_wbaP;KL74_10_wbaZ;KL74_11_wzy;KL74_13_wzx;KL74_14_wcuL;KL74_15_wcoW	0		0 / 19 (0%)		2	KL74_17_manC,100.0%;KL169_17_manB,98.022%
GCA_900635105.1_36109_D01_genomic	KL74	K74	None	-	100.00%	99.97%	-1 bp	13 / 19 (68.4%)	KL74_02_cpsACP,100.0%;KL74_03_wzi,100.0%;KL74_04_wza,100.0%;KL74_05_wzb,100.0%;KL74_06_wzc,100.0%;KL74_07_wbaP,100.0%;KL74_08_wcuD,100.0%;KL74_09_wcuE,100.0%;KL74_14_wcuL,100.0%;KL74_16_gnd,100.0%;KL74_17_manC,100.0%;KL74_18_manB,100.0%;KL74_19_ugd,100.0%	KL74_01_galF;KL74_10_wbaZ;KL74_11_wzy;KL74_12;KL74_13_wzx;KL74_15_wcoW	0		0 / 19 (0%)		4	KL50_10,89.811%;KL74_17_manC,100.0%;KL169_17_manB,98.022%;KL150_19_gmd,85.075%
GCA_900635125.1_36252_B01_genomic	KL82	K82	Low	+	100.00%	100.00%	+1 bp	17 / 17 (100%)	KL82_01_galF,100.0%;KL82_02_cpsACP,100.0%;KL82_03_wzi,100.0%;KL82_04_wza,100.0%;KL82_05_wzb,100.0%;KL82_06_wzc,100.0%;KL82_07_wcaJ,100.0%;KL82_08_wckY,100.0%;KL82_09_wzy,100.0%;KL82_10_wckV,100.0%;KL82_11_wcqN,100.0%;KL82_12_wcuF,100.0%;KL82_13,100.0%;KL82_14_wzx,99.753%;KL82_15_wcqO,100.0%;KL82_16_gnd,100.0%;KL82_17_ugd,100.0%		2	KL172_03,97.222%;KL172_04,83.784%	0 / 17 (0%)		5	KL138_20_rmlB,94.085%;KL150_19_gmd,85.586%;KL72_17_rmlD,93.266%;KL72_16_rmlA,95.502%;KL44_20_rmlC,93.514%
GCA_900635435.1_28021_A02_genomic	KL186	unknown (KL186)	None	?-*	77.13%	79.77%	n/a	10 / 21 (47.6%)	KL186_01_galF,93.603%;KL186_03_wzi,91.632%;KL186_04_wza,90.576%;KL186_05_wzb,89.552%;KL186_12,86.835%;KL186_13_gnd,93.603%;KL186_14_wzx,90.428%;KL186_17_rmlB,92.059%;KL186_18_rmlA,93.793%;KL186_20_rmlC,91.892%	KL186_02_cpsACP;KL186_06_wzc;KL186_07_wbaP;KL186_08_wctK;KL186_09_wcuP;KL186_10_wclJ;KL186_11;KL186_15_wcuL;KL186_16_wcoW;KL186_19_rmlD;KL186_21_ugd	0		0 / 21 (0%)		1	KL17_17_rmlA,96.552%
