strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_type	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_type	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
Klebsiella_pneumoniae_ATCC_BAA_3066	Klebsiella pneumoniae	strong	13	5394163	5394163	5678469	no	-	ST147	1	2	7	8	ybt 10; ICEKp4	384	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O2a	none	Very high	98.64%		aac(6')-Ib;rmtF	-	-	qnrB1.v2^	-	mphA	-	arr-2	-	-	-	dfrA14.v2*	-	-	CTX-M-15	-	OXA-181	SHV-11.v1^	35Q	OmpK35-76%;OmpK36TD	-	GyrA-83I;ParC-80I	-	-	ST147	3	4	6	1	7	4	38	16	12	4	3	3	61	54	3	10	9	39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_3067	Klebsiella pneumoniae	strong	2	5379052	5379052	5596027	no	-	ST11	0	1	9	17	-	0	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Very high	100.00%		O1/O2v1	O2a	none	Very high	98.64%		aac(6')-Ib'.v1;aadA*;aadA2;aadA2^;aph3-Ia.v1^	-	-	qnrB19^;qnrB19^	-	mphA*	catB3.v2	arr-3	sul1;sul1;sul1	-	-	dfrA12	OXA-9.v1;TEM-1D.v1^	-	OXA-163	-	-	SHV-11.v1	35Q	OmpK35-41%;OmpK36-71%	-	GyrA-83I;ParC-80I	-	-	ST11	3	3	1	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_3068	Klebsiella pneumoniae	strong	5	5273760	5273760	5650895	no	-	ST881	0	2	6	6	-	0	-	0	-	0	-	0	-	0	-	wzi72	KL2	K2	none	Very high	98.41%		O1/O2v2	O1ab	none	Very high	98.97%		aadA1.v1^	-	-	-	-	-	-	-	sul1	-	-	dfrA1.v2	TEM-1D.v1^	-	-	-	GES-6^;KPC-2	SHV-27	156D	OmpK36-9%	-	GyrA-83F	OXA-9.v1*-42%;aac(6')-Ib7*-28%	-	ST881	2	68	1	1	10	4	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_3069	Klebsiella pneumoniae	strong	11	5351921	5351921	5562093	no	-	ST258	0	3	5	4	-	0	-	0	-	0	-	0	-	0	-	wzi29	KL106	unknown (KL106)	?	Good	99.99%		O1/O2v2	O2afg	none	Very high	98.48%		aac(6')-Ib'.v1	-	-	-	-	-	-	-	-	-	-	-	TEM-1D.v1^	-	-	-	KPC-2;KPC-2	SHV-11.v1	35Q	OmpK35-25%	MgrB-62%	GyrA-83I;ParC-80I	OXA-9.v1*-42%;aac(6')-Ib'.v1?-0%	-	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_3070	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	3	5126303	5126303	5274112	no	-	ST4990-1LV	0	2	5	5	-	0	-	0	-	0	-	0	-	0	-	wzi495	KL55	K55	*	Very high	95.94%		O3/O3a	O3/O3a	none	Very high	95.98%		aadA2	-	-	-	-	-	-	-	sul1	tet(A).v1*	-	-	-	-	CTX-M-74^	-	IMP-6	OKP-B-8^	-	OmpK36-8%	-	-	aac(6')-Ib9*?-0%	-	ST4990-1LV	18	22*	18	16	94	13	50	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_3071	Klebsiella pneumoniae	strong	8	5183721	5183721	5702240	no	-	ST336	1	1	9	15	ybt 15; ICEKp11	230-1LV	-	0	-	0	-	0	-	0	-	wzi150	KL183	unknown (KL183)	none	Very high	95.04%		OL13	O13	*	High	94.97%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	mphA	CatB4.v1	-	sul2	tet(C)	-	dfrA14.v2*;dfrA14.v2*	OXA-1;OXA-370;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-11.v1^	35Q	-	-	-	-	-	ST336	2	1	1	1	72	4	4	6	15	22	4	1	37	394	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_3072	Klebsiella pneumoniae	strong	5	5331875	5331875	5833983	no	-	ST14	1	2	8	17	ybt 14; ICEKp5	140	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	none	Very high	99.74%		O1/O2v1	O1ab	-	High	99.98%	O1/O2v1_06_wbbO	aac(6')-Ib-cr.v2;aadA2^;aph(3')-VI;armA;sat-2	-	-	qnrB1.v2^	-	mphE.v2^;msrE	CatB4.v1;catA1^	-	sul1	-	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1	-	-	-	NDM-1;OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST14	1	6	1	1	1	1	1	4	4	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_3073	Klebsiella pneumoniae	strong	9	5174062	5174062	5932601	no	-	ST17	0	2	7	9	-	0	-	0	-	0	-	0	-	0	-	wzi360	KL122	unknown (KL122)	none	Very high	99.97%		O1/O2v2	O1ab	none	Very high	98.51%		aac(6')-Ib4^;aadA1.v1^;aphA15	-	-	-	-	mphA	catB2.v1	-	sul1	-	-	dfrA14.v2*	-	-	SHV-12	-	VIM-42	SHV-11.v1^	238S;240K;35Q;35Q	-	-	-	-	-	ST17	2	1	1	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_3074	Klebsiella pneumoniae	strong	5	5442769	5442769	5797456	no	-	ST11	4	2	7	6	ybt 9; ICEKp3	503	-	0	iuc 1	1	-	0	-	0	rmpA2_6-60%	wzi209	KL47	K47	none	Very high	99.40%		OL13	O13	-	High	95.00%	OL13_05_wbbL,OL13_09_glycosylhydrolase	rmtB	-	fosA3	-	-	-	catII.2*	-	-	-	-	-	TEM-1D.v1^	-	CTX-M-65	-	KPC-2	SHV-11.v1	35Q	OmpK35-17%;OmpK36GD	-	GyrA-83I;GyrA-87G;ParC-80I	-	-	ST11	3	3	1	1	1	1	4	140	11	6	5	1	60	65	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_3075	Klebsiella quasipneumoniae subsp. quasipneumoniae	strong	5	5421937	5421937	5897407	no	-	ST571	0	2	10	14	-	0	-	0	-	0	-	0	-	0	-	-	KL64	K64	*	Very high	96.81%		O5	O5	none	High	94.69%		aac(6')-Ib-cr.v2;aadA16*	-	-	qnrS1	-	mphA	-	arr-3	sul1	tet(A).v1	-	dfrA14.v2*;dfrA27	LAP-2;TEM-1D.v1^	-	CTX-M-15;CTX-M-27	-	NDM-1	OKP-A-3*	-	-	-	-	-	-	ST571	17	19	79	20	108	55	142	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_3076	Klebsiella pneumoniae	strong	11	5376036	5376036	5976791	no	-	ST258	1	3	10	17	ybt 13; ICEKp2	299	-	0	-	0	-	0	-	0	-	wzi29	KL106	unknown (KL106)	?	Good	99.97%		O1/O2v2	O2afg	none	Very high	98.48%		aac(6')-Ib'.v1;aac(6')-Il;aadA1.v1^;aadA2;aadA2^;ant(2'')-Ia	-	-	-	-	mphA	catA1^	-	sul1;sul1	-	-	dfrA1.v2;dfrA12	CMY-13;TEM-1D.v1^	-	SHV-12	-	KPC-2;VIM-1	SHV-11.v1^	238S;240K;35Q;35Q	OmpK35-25%;OmpK36GD	MgrB-60%	GyrA-83I;ParC-80I	OXA-9.v1*-42%	-	ST258	3	3	1	1	1	1	79	6	4	20	14	1	126	131	2	4	52	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_3077	Klebsiella pneumoniae	strong	9	5473533	5473533	5722034	no	-	ST101	1	1	8	18	ybt 9; ICEKp3	183	-	0	-	0	-	0	-	0	-	wzi137	KL17	K17	none	Perfect	100.00%		O1/O2v1	O1ab	none	Very high	98.02%		aac(3)-IId^;aac(6')-Ib-cr.v2*;aac(6')-Ib-cr.v2*;aac(6')-Ib-cr9*;aph3-Ia.v1^;strA.v1*;strB.v1*	-	-	-	-	-	CatB4.v1;CatB4.v1	-	sul2	tet(D)	-	dfrA14.v2*	OXA-1;OXA-1;TEM-1D.v1^;TEM-1D.v1^	-	CTX-M-15;GES-1.v1	-	-	SHV-1^	-	-	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_3078	Klebsiella pneumoniae	strong	8	5007616	5007616	5525115	no	-	ST323	0	1	8	15	-	0	-	0	-	0	-	0	-	0	-	wzi262	KL21	K21	none	Perfect	100.00%		O3b	O3b	none	Very high	99.19%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^;qnrB1.v2^	-	-	CatB4.v1	-	sul2	tet(A).v1	-	dfrA14.v2*;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15;CTX-M-15	-	-	SHV-1^	-	-	-	-	fosA7*-15%	-	ST323	2	1	1	1	9	1	93	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_3079	Klebsiella pneumoniae	strong	7	5298473	5298473	5944085	no	-	ST2292	0	2	6	10	-	0	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O2a	none	Very high	98.64%		aac(6')-Il;aac(6')-Im;aph(2'')-IIa*;aph3-Ia.v1^;aph3-Ia.v1^	-	-	-	-	-	-	-	sul1	-	-	dfrA1.v2	MOX-2	-	-	-	KPC-2;VIM-1	SHV-11.v1^;SHV-1^	35Q	OmpK35-48%;OmpK36GD	-	GyrA-83I;ParC-80I	aadA24*?-0%	-	ST2292	3	4	6	1	263	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_subsp_ozaenae_ATCC_11296	Klebsiella pneumoniae	strong	12	5054985	5054985	5372589	no	-	ST91 (subsp. ozaenae)	3	0	0	0	-	0	-	0	iuc 2A	39	-	0	-	0	-	wzi127	KL4	K4	-+	Good	99.93%	KL4_20_wza	O1/O2v1	unknown (O1/O2v1)	none	Very high	98.41%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11.v1^	35Q	-	-	-	-	-	ST91	10	6	1	9	12	4	9	-	-	-	-	4	11	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	4	3	5	6	-	-	-	-	31*	-	-	ybtS_106*-0%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_10031	Klebsiella pneumoniae	strong	1	5278269	5278269	5278269	no	-	ST86	0	0	1	0	-	0	-	0	-	0	-	0	rmp 1; KpVP-1	26	-	wzi2	KL2	K2	-	High	99.94%	KL2_14_wcaJ	O1/O2v1	O2a	none	Very high	98.45%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	MgrB-49%	-	-	-	ST86	9	4	2	1	1	1	27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_10273	Klebsiella pneumoniae	strong	6	5299897	5299897	5557706	no	-	ST3	2	0	0	0	ybt 12; ICEKp10 (truncated)	128	clb 1	59	-	0	-	0	rmp 2A; plasmid/chr	9	-	wzi3	KL3	K3	none	Very high	99.60%		O1/O2v1	O1ab	none	Very high	98.28%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST3	5	5	1	1	9	6	11	39	1	49	50	1	115	123-2%	1	36	49	13	4	6	1	3	1	3	1	6	3	1	1	8	14	1	1	-	-	-	-	-	3*	-	-	-	25	8	7	-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_10872	Klebsiella pneumoniae	strong	5	5207553	5207553	5441290	no	-	ST86	4	0	1	0	ybt 9; ICEKp3 (truncated)	217	-	0	iuc 1	1	-	0	rmp 1; KpVP-1	26	rmpA2_9	wzi2	KL2	K2	none	Very high	99.94%		O1/O2v1	O2a	none	Very high	98.44%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	MgrB-49%	-	-	-	ST86	9	4	2	1	1	1	27	5	5	6	5	1	9	218	4-39%	5	5	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	2	2	2	-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_12657	Klebsiella pneumoniae	strong	7	4772008	4772008	5362072	no	-	ST29	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi115	KL54	K54	none	Very high	99.94%		O1/O2v2	O1ab	none	Very high	99.15%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-187	-	-	-	-	-	-	ST29	2	3	2	2	6	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_132	Klebsiella pneumoniae	strong	2	5218415	5218415	5261895	no	-	ST86	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	none	Very high	99.93%		O1/O2v1	O1ab	none	Very high	98.46%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST86	9	4	2	1	1	1	27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_13882	Klebsiella pneumoniae	strong	2	5229221	5229221	5387962	no	-	ST505	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Very high	99.91%		O1/O2v1	O1ab	none	Very high	98.65%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-108	35Q	-	-	-	-	-	ST505	7	1	5	1	1	1	84	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_13883	Klebsiella pneumoniae	strong	6	5248952	5248952	5548441	no	-	ST3	2	0	0	0	ybt 12; ICEKp10 (truncated)	128	clb 1	59	-	0	-	0	rmp 2A; plasmid/chr	9	-	wzi3	KL3	K3	-	High	99.60%	KL3_10_pglJ	O1/O2v1	O1ab	none	Very high	98.28%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST3	5	5	1	1	9	6	11	39	1	49	50	1	115	123-2%	1	36	49	13	4	6	1	3	1	3	1	6	3	1	1	8	14	1	1	-	-	-	-	-	3*	-	-	-	25	8	7	-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_13886	Klebsiella pneumoniae	strong	5	5042395	5042395	5281905	no	-	ST82	0	0	0	0	-	0	-	0	-	0	-	0	rmp 2A; plasmid/chr (truncated)	12	-	wzi128	KL1	K1	none	Very high	99.49%		O1/O2v1	O1ab	none	Very high	98.59%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ST82	2	6	1	1	4	1	33	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	-	7	12	4-17%	iroC_5*-0%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_15380	Klebsiella pneumoniae	strong	2	5306633	5306633	5511964	no	-	ST375	3	0	0	0	-	0	-	0	iuc 1	20	iro 1	14	rmp 1; KpVP-1	26	rmpA2_5-54%	wzi72	KL2	K2	none	Very high	98.40%		O1/O2v2	O1ab	none	Very high	98.98%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST375	43	1	2	1	10	4	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	3	1	1	1	3	2	2	2	-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_211	Klebsiella pneumoniae	strong	4	5196191	5196191	5487758	no	-	ST889	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi117	KL54	K54	none	Very high	99.50%		O1/O2v1	unknown (O1/O2v1)	none	Very high	98.18%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-108^	35Q	-	-	-	-	-	ST889	3	1	1	4	3	1	19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_21215	Klebsiella variicola subsp. variicola	strong	1	5426490	5426490	5426490	no	-	ST767	0	0	1	1	-	0	-	0	-	0	-	0	-	0	-	wzi469	KL35	K35	*	Very high	95.86%		O3/O3a	O3/O3a	none	Very high	99.34%		-	-	fosA7*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	LEN-16^	-	-	-	-	-	-	ST767	60	24	21	53	54	22	172	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_23356	Klebsiella pneumoniae	strong	2	5325623	5325623	5399758	no	-	ST10	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi98	KL122	unknown (KL122)	none	Very high	99.91%		O1/O2v2	O1ab	none	Very high	98.53%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST10	4	1	7	1	9	1	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_23357	Klebsiella pneumoniae	strong	5	5082001	5082001	5134482	no	-	ST276-2LV	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi107	unknown (KL22)	unknown (K22)	-+	Low	99.52%	KL22_17	O1/O2v1	O2a	none	Very high	98.66%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11.v1^	35Q	-	-	-	fosA7*-15%	-	ST276-2LV	2	1	1	1	1*	4	135	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_25955	Klebsiella pneumoniae	strong	2	5108523	5108523	5340910	no	-	ST1271	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi84	KL28	K28	-	High	99.02%	KL28_15_wcaJ	O1/O2v2	O1ab	none	Very high	99.39%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-187*	-	-	-	-	-	-	ST1271	2	3	2	2	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_27736	Klebsiella pneumoniae	strong	20	5076455	5076455	5442096	no	-	ST27	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi85	KL30	K30	-*	High	96.54%	KL30_15_wcuG	O1/O2v2	O2afg	none	Very high	99.38%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-40	35Q	-	-	-	-	-	ST27	2	1	11	1	9	10	23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_27799	Klebsiella pneumoniae	strong	8	5381131	5381131	5977425	no	-	ST14	0	0	4	12	-	0	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	-	High	99.74%	KL2_13	O1/O2v1	O1ab	none	Very high	99.99%		aadA^;aph(3')-Ia;strA.v1^;strB.v1	-	-	-	-	-	catA13;catA1^	-	sul1;sul2	tet(B).v2*;tet(B).v2*;tetR;tetR	-	-	-	-	-	-	-	SHV-28.v1^	-	OmpK36-77%	-	-	-	-	ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_29013	Klebsiella variicola subsp. variicola	strong	3	5438296	5438296	5810110	no	-	ST1057	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	-	KL9	K9	*	Very high	96.65%		O3/O3a	O3/O3a	none	Very high	99.36%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	LEN-9	-	-	-	-	-	-	ST1057	16	24	21	27	47	17	134	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_29665	Klebsiella pneumoniae	strong	2	5256667	5256667	5386865	no	-	ST375	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi72	KL2	K2	none	Very high	98.40%		O1/O2v2	O1ab	none	Very high	98.98%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST375	43	1	2	1	10	4	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_31311	Klebsiella variicola subsp. variicola	strong	1	5438011	5438011	5438011	no	-	ST595	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi251	KL16	K16	*	Very high	97.26%		O5	O5	none	Very high	99.50%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	LEN-16^	-	OmpK36-34%	-	-	-	-	ST595	16	24	21	27	55	22	67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_31646	Klebsiella variicola subsp. variicola	strong	1	5363026	5363026	5363026	no	-	ST355	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi388	KL63	K63	none	Very high	95.97%		O5	O5	none	Very high	99.57%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	LEN-25	-	-	-	-	-	-	ST355	16	45	21	27	47	22	67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_33495	Klebsiella pneumoniae	strong	17	2823469	2823469	5487722	no	-	ST4073	0	0	3	4	-	0	-	0	-	0	-	0	-	0	-	wzi5	KL5	K5	-	High	99.96%	KL5_05_wzb	O1/O2v1	O1ab	none	Very high	98.11%		aadA^	-	-	-	-	-	-	-	sul1	tet(B).v2*;tetR	-	-	-	-	-	-	-	SHV-37	35Q	-	-	-	-	-	ST4073	12	6	1	3	8	5	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_35593	Klebsiella pneumoniae	strong	7	4964328	4964328	5201904	no	-	ST82	0	0	0	0	-	0	-	0	-	0	-	0	rmp 2A; plasmid/chr (truncated)	12	-	wzi128	KL1	K1	?-	Good	99.49%	KL1_06_wzc	O1/O2v1	O1ab	none	Very high	98.59%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ST82	2	6	1	1	4	1	33	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	-	7	12	4-17%	iroC_5*-0%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_35657	Klebsiella pneumoniae	strong	2	5229221	5229221	5387962	no	-	ST505	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Very high	99.90%		O1/O2v1	O1ab	none	Very high	98.65%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-108	35Q	-	-	-	-	-	ST505	7	1	5	1	1	1	84	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
