Accession,Strain,Isolation_source,Culture_collection,Bioproject,BioSample,Host,Collection_date,Origin,lat,lon,Serovar,Genome Length,No. Contigs,Smallest Contig,Largest Contig,Average Contig Length,N50,non-ATCG,GC Content,Organism Name,ST,cgST,LIN code,Sublineage,Clonal Group,Species,Yersiniabactin,Colibactin,Aerobactin,Salmochelin,RmpADC,rmpA2,virulence_score,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,resistance_score,K_locus,K_type,K_locus_confidence,K_locus_problems,K_locus_identity,K_Missing_expected_genes,O_locus,O_type,O_locus_confidence,O_locus_problems,O_locus_identity,O_Missing_expected_genes
GCA_019930305.1_ASM1993030v1_genomic,MRSN13726,Urine,BEI Resources,PRJNA717739,SAMN18874692,Homo sapiens,2011-05-27,Turkey: Ankara,40,32.86,Unknown,5370241,125,203,239329,42961,96133,0,57.4,Klebsiella pneumoniae,39,Novel,"0,0,107,0,1,7,0,*,*,*",39,39,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-11^,35Q,-,-,-,ESBL and Carb negative,KL23,K23,Typeable,-,99.94%,-,O1/O2v2,O1ab,Typeable,-,98.91%,-
GCA_019930325.1_ASM1993032v1_genomic,MRSN7076,Culture sterile body site,BEI Resources,PRJNA717739,SAMN18874691,Homo sapiens,2003-04-27,USA: District of Columbia,38.97,-77.03,Unknown,5740678,166,201,374711,34582,116242,0,56.8,Klebsiella pneumoniae,Novel,Novel,"0,0,939,1,*,*,*,*,*,*",10885,11911,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11^,35Q,-,-,-,ESBL only,KL25,K25,Typeable,!,99.82%,-,O3/O3a,O3/O3a,Typeable,-,99.51%,-
GCA_019930345.1_ASM1993034v1_genomic,MRSN6778,Urine,BEI Resources,PRJNA717739,SAMN18874690,Homo sapiens,2011-12-18,USA: District of Columbia,38.97,-77.03,Unknown,5525872,203,204,332482,27221,113647,0,57.2,Klebsiella pneumoniae,1842,Novel,"0,0,1231,*,*,*,*,*,*,*",11576,Not tested,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-71^,146V,-,-,-,ESBL only,KL3,K3,Typeable,!,99.71%,-,O1/O2v2,O2afg,Typeable,-,99.05%,-
GCA_019930355.1_ASM1993035v1_genomic,MRSN6031,Unknown,BEI Resources,PRJNA717739,SAMN18874689,Homo sapiens,2011-06-03,Germany: Landstuhl,49.4,7.56,Unknown,5350812,149,202,313041,35911,129174,0,57.5,Klebsiella pneumoniae,322,Novel,"0,0,3,0,*,*,*,*,*,*",322,322,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11^,35Q,-,-,-,ESBL only,KL17,K17,Typeable,-,99.53%,-,O4,O4,Typeable,-,99.61%,-
GCA_019930385.1_ASM1993038v1_genomic,MRSN5881,Wound,BEI Resources,PRJNA717739,SAMN18874688,Homo sapiens,Unknown,USA: District of Columbia,38.97,-77.03,Unknown,5808395,189,202,353227,30732,109462,0,56.7,Klebsiella pneumoniae,48,Novel,"0,0,147,1,0,1,0,*,*,*",48,48,Klebsiella pneumoniae,-,-,iuc 1,-,-,rmpA2_5-54%,iuc (without ybt or clb),CMY-4.v1;OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-1^,-,-,-,GyrA-83Y,ESBL only,KL62,K62,Typeable,?2,99.82%,-,O1/O2v1,O1ab,Typeable,-,98.54%,-
GCA_019930405.1_ASM1993040v1_genomic,MRSN5741,Respiratory,BEI Resources,PRJNA717739,SAMN18874687,Homo sapiens,Unknown,USA: District of Columbia,38.97,-77.03,Unknown,5818247,143,200,298997,40687,112059,0,56.8,Klebsiella pneumoniae,234,Novel,"0,0,366,0,1,*,*,*,*,*",234,234,Klebsiella pneumoniae,ybt 17; ICEKp10,clb 3,-,-,-,-,clb + ybt (or clb only),CARB-2.v1^;FOX-5,-,-,-,-,SHV-27,156D,-,-,GyrA-83F,ESBL and Carb negative,KL30,K30,Typeable,!,97.57%,-,O1/O2v2,O1ab,Typeable,-,99.65%,-
GCA_019930425.1_ASM1993042v1_genomic,MRSN5613,Urine,BEI Resources,PRJNA717739,SAMN18874686,Homo sapiens,2011-11-16,USA: Washington,47.1,-122.55,Unknown,5448325,157,200,409450,34702,143906,0,57.1,Klebsiella pneumoniae,1787,Novel,"0,0,424,0,*,*,*,*,*,*",1787,1787,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11^,35Q,-,-,-,ESBL only,KL148,unknown (KL148),Typeable,-,100.00%,-,O1/O2v2,O1ab,Typeable,-,99.14%,-
GCA_019930445.1_ASM1993044v1_genomic,MRSN4759,Urine,BEI Resources,PRJNA717739,SAMN18874684,Homo sapiens,2011-09-07,USA: Hawaii,21.36,-157.88,Unknown,5210628,101,200,328021,51590,122667,0,57.5,Klebsiella pneumoniae,37,Novel,"0,0,109,1,53,*,*,*,*,*",37,37,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",TEM-1D.v1^,-,CTX-M-3,-,-,SHV-11^,35Q,-,-,-,ESBL only,KL38,K38,Typeable,-,99.84%,-,O3b,O3b,Typeable,-,99.67%,-
GCA_019930465.1_ASM1993046v1_genomic,MRSN4815,Wound,BEI Resources,PRJNA717739,SAMN18874685,Homo sapiens,2011-06-13,USA: Texas,29.46,-98.41,Unknown,5496817,122,203,273537,45055,95332,0,57.3,Klebsiella pneumoniae,261,Novel,"0,0,1124,0,0,1,1,*,*,*",10970,11744,Klebsiella pneumoniae,ybt 16; ICEKp12,-,-,-,-,-,ybt only,LAP-2,-,CTX-M-14,-,-,SHV-142,35Q,-,-,-,ESBL only,KL38,K38,Typeable,!,98.81%,-,O1/O2v2,O2afg,Typeable,-,98.99%,-
GCA_019930485.1_ASM1993048v1_genomic,MRSN4111,Surveillance,BEI Resources,PRJNA717739,SAMN18874683,Homo sapiens,2011-07-12,USA: District of Columbia,38.97,-77.03,Unknown,5578508,258,202,257857,21622,79352,0,57.2,Klebsiella pneumoniae,4833,Novel,"0,0,1232,0,*,*,*,*,*,*",11545,12808,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL31,K31,Typeable,?4-,95.74%,KL31_14_wctI;KL31_15_wzx;KL31_16_wcuJ;KL31_13_wctH,O5,O5,Typeable,?2,99.69%,-
GCA_019930505.1_ASM1993050v1_genomic,MRSN1912,Surveillance,BEI Resources,PRJNA717739,SAMN18874682,Homo sapiens,2010-03-14,USA: District of Columbia,38.97,-77.03,Unknown,5416772,91,203,412071,59524,123238,0,57.3,Klebsiella pneumoniae,336,Novel,"0,0,22,24,2,*,*,*,*,*",17,17,Klebsiella pneumoniae,ybt 15; ICEKp11,-,-,-,-,-,ybt only,-,-,-,-,-,SHV-11^,35Q,-,-,-,ESBL and Carb negative,KL25,K25,Typeable,!,99.64%,-,O5,O5,Typeable,-,98.23%,-
GCA_020406995.1_ASM2040699v1_genomic,MRSN752729,Surveillance,BEI Resources,PRJNA717739,SAMN18874780,Homo sapiens,2019-12-03,Italy: Sienna,43.31,11.33,Unknown,5819087,145,212,252140,40131,143348,0,56.6,Klebsiella pneumoniae,147,9239,"0,0,197,0,4,1,0,7,0,0",147,147,Klebsiella pneumoniae,ybt 9; ICEKp3,-,iuc 1,-,rmp 1; KpVP-1,rmpA2_6*-47%,iuc and ybt (without clb),OXA-9.v1,-,CTX-M-15,-,NDM-1,SHV-11^,35Q,OmpK35-25%,-,GyrA-83I;ParC-80I,Carb without colistin,KL64,K64,Typeable,-,100.00%,-,O1/O2v1,O2a,Typeable,-,98.99%,-
GCA_020407015.1_ASM2040701v1_genomic,MRSN368001,Unknown,BEI Resources,PRJNA717739,SAMN18874724,Homo sapiens,2015-11-16,Kenya: Nairobi,-1.26,36.82,Unknown,5740656,116,204,525581,49488,162788,0,56.8,Klebsiella pneumoniae,14,Novel,"0,0,1,1,17,0,3,0,*,*",14,14,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",OXA-1,-,CTX-M-15,-,NDM-1,SHV-28^,-,OmpK36GD,-,GyrA-83Y;GyrA-87G;ParC-80I,Carb without colistin,KL2,K2,Typeable,?2,99.78%,-,O1/O2v1,O1ab,Typeable,?2,100.00%,-
GCA_020407045.1_ASM2040704v1_genomic,MRSN13768,Blood,BEI Resources,PRJNA717739,SAMN18874695,Homo sapiens,2011-05-28,Turkey: Ankara,40,32.86,Unknown,5509042,164,204,350764,33591,134951,0,57.1,Klebsiella pneumoniae,101,Novel,"0,0,84,0,8,*,*,*,*,*",101,101,Klebsiella pneumoniae,ybt 9; ICEKp3,-,-,-,-,-,ybt only,OXA-1,-,CTX-M-15,-,OXA-48,SHV-1^,-,OmpK35-17%;OmpK36GD,MgrB-0%,GyrA-83Y;GyrA-87N;ParC-80I,Carb with colistin,KL17,K17,Typeable,-,99.99%,-,O1/O2v1,O1ab,Typeable,!,99.00%,-
GCA_020407065.1_ASM2040706v1_genomic,MRSN28183,Respiratory,BEI Resources,PRJNA717739,SAMN18874717,Homo sapiens,2008-07-30,USA: District of Columbia,38.97,-77.03,Unknown,5460989,150,200,348254,36406,120045,0,57.3,Klebsiella pneumoniae,199,Novel,"0,0,46,7,0,0,0,0,*,*",76,10212,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",OXA-1;TEM-1D.v1^,-,-,-,GES-5^,SHV-1^,-,-,-,GyrA-83I;ParC-80I,Carb without colistin,KL154,unknown (KL154),Typeable,-,100.00%,-,O1/O2v1,O2ac,Typeable,-,99.23%,-
GCA_900451185.1_44503_H01_genomic,NCTC9636,Unknown,NCTC,PRJEB6403,SAMEA3871784,Unknown,Unknown,Unknown,NA,NA,K3,5701470,5,22935,5313475,1140294,5313475,0,57,Klebsiella pneumoniae,3,3724,"0,0,421,0,3,0,0,0,0,0",3,3,Klebsiella pneumoniae,ybt 12; ICEKp10 (truncated),clb 1,iuc 2A,-,rmp 2A; plasmid/chr (truncated),-,"iuc, ybt and clb",-,-,-,-,-,SHV-1^,-,-,-,-,ESBL and Carb negative,KL3,K3,Typeable,!,99.61%,-,O1/O2v1,O1ab,Typeable,!,99.08%,-
GCA_900451215.1_44310_G01_genomic,NCTC13697,Unknown,NCTC,PRJEB6403,SAMEA3867452,Unknown,Unknown,Unknown,NA,NA,Unknown,5295627,5,10894,5042524,1059125,5042524,0,57.4,Klebsiella pneumoniae,82,3710,"0,0,438,0,0,0,0,0,0,0",82,82,Klebsiella pneumoniae,-,-,-,-,rmp 2A; plasmid/chr (truncated),-,"ybt, clb and iuc negative",-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL1,K1,Typeable,!,99.54%,-,O1/O2v1,O1ab,Typeable,-,99.28%,-
GCA_900451275.1_36672_F01_genomic,NCTC11686,Feces,NCTC,PRJEB6403,SAMEA3282969,Homo sapiens,1900/1979,United Kingdom: Leeds,53.8007554,-1.5490774,Unknown,5361317,4,20588,4597219,1340329,4597219,0,57.4,Klebsiella pneumoniae,1026,57,"0,0,326,0,0,0,0,0,0,0",1877,1026,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-1^,-,-,-,-,ESBL and Carb negative,KL13,Capsule null,Typeable,!,97.77%,-,O3b,O3b,Typeable,!,98.00%,-
GCA_900451285.1_52313_E01_genomic,NCTC243,Unknown,NCTC,PRJEB6403,SAMEA4552890,Unknown,1900/1920,Unknown,NA,NA,Unknown,5508105,2,205335,5302770,2754052,5302770,0,57.2,Klebsiella pneumoniae,375,45,"0,0,390,0,0,2,0,0,0,0",375,375,Klebsiella pneumoniae,-,-,iuc 1,iro 1 (truncated),rmp 1; KpVP-1,rmpA2_3-47%,iuc (without ybt or clb),-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL2,K2,Typeable,-,99.51%,-,O1/O2v2,O1ab,Typeable,!,96.37%,-
GCA_900451315.1_44310_H01_genomic,NCTC13698,Unknown,NCTC,PRJEB6403,SAMEA3867453,Unknown,Unknown,Unknown,NA,NA,Unknown,5589625,7,21253,5009375,798517,5009375,0,56.9,Klebsiella pneumoniae,3764,5350,"0,0,438,1,3,0,0,0,0,0",82,82,Klebsiella pneumoniae,-,-,iuc 2A,-,"rmp 2A; plasmid/chr (truncated),rmp 2A; plasmid/chr (truncated)",-,iuc (without ybt or clb),-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL1,K1,Typeable,-,99.52%,-,O1/O2v1,O1ab,Typeable,!,99.44%,-
GCA_900451355.1_44787_B01_genomic,NCTC13695,Abdominal exudate,NCTC,PRJEB6403,SAMEA3879495,Unknown,Unknown,Unknown,NA,NA,Unknown,5658687,5,17861,5321314,1131737,5321314,0,57,Klebsiella pneumoniae,3,3709,"0,0,421,0,2,0,0,0,0,0",3,3,Klebsiella pneumoniae,ybt 12; ICEKp10 (truncated),clb 1 (truncated),iuc 2A,-,rmp 2A; plasmid/chr,-,"iuc, ybt and clb",-,-,-,-,-,SHV-1^,-,-,-,-,ESBL and Carb negative,KL3,K3,Typeable,!,99.64%,-,O1/O2v1,O1ab,Typeable,!,99.18%,-
GCA_900451385.1_45709_E01_genomic,NCTC13671,Blood culture,NCTC,PRJEB6403,SAMEA3919794,Unknown,1917/1937,Unknown,NA,NA,Unknown,5522819,5,40908,5007443,1104563,5007443,0,57,Klebsiella pneumoniae,82,5342,"0,0,438,1,1,0,0,0,0,0",82,82,Klebsiella pneumoniae,-,-,iuc 2A,-,rmp 2A; plasmid/chr,-,iuc (without ybt or clb),-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL1,K1,Typeable,-,99.51%,-,O1/O2v1,O1ab,Typeable,!,99.28%,-
GCA_900451395.1_58174_C01_genomic,NCTC13691,Urine,NCTC,PRJEB6403,SAMEA104307700,Unknown,1917/1941,Unknown,NA,NA,Unknown,5532074,14,15120,2253501,395148,900876,0,57.4,Klebsiella pneumoniae,3767,3708,"0,0,381,0,0,0,0,0,0,0",3767,3767,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-161*,-,-,-,-,ESBL and Carb negative,KL43,K43,Typeable,-,99.69%,-,O1/O2v1,O2a,Typeable,!,99.24%,-
GCA_900451405.1_31885_D02_genomic,NCTC10314,Unknown,NCTC,PRJEB6403,SAMEA2689780,Unknown,Unknown,Unknown,NA,NA,Unknown,5414864,2,145569,5269295,2707432,5269295,0,57.4,Klebsiella pneumoniae,3756,Novel,"0,0,*,*,*,*,*,*,*,*",Not tested,Not tested,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL149,unknown (KL149),Typeable,!,99.25%,-,O3b,O3b,Typeable,-,99.64%,-
GCA_900451415.1_36340_H01_genomic,NCTC12463,Unknown,NCTC,PRJEB6403,SAMEA3251448,Unknown,1900/1991,Unknown,NA,NA,Unknown,5481589,12,12425,2633718,456799,1012063,0,57.1,Klebsiella pneumoniae,3760,Novel,"0,0,438,*,*,*,*,*,*,*",82,Not tested,Klebsiella pneumoniae,-,-,iuc 2A,-,rmp 2A; plasmid/chr (truncated),-,iuc (without ybt or clb),-,-,-,-,-,-,-,OmpK35-59%,-,-,ESBL and Carb negative,KL1,Capsule null,Typeable,?2-!,94.65%,KL1_09_wzy;KL1_10_wcsS;KL1_11_wcsT;KL1_08_wclY;KL1_13_wcaG;KL1_12_gmd,O1/O2v1,O1ab,Typeable,+!,99.34%,-
GCA_900451425.1_45753_B01_genomic,NCTC13688,Unknown,NCTC,PRJEB6403,SAMEA3919812,Unknown,1917/1940,Unknown,NA,NA,Unknown,5337427,8,17506,2994238,667178,2994238,0,56.7,Klebsiella pneumoniae,90,5348,"0,0,442,0,0,0,0,0,0,0",10031,10291,Klebsiella pneumoniae,-,-,iuc 2A,-,-,-,iuc (without ybt or clb),-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL5,Capsule null,Typeable,?2!,99.01%,-,O1/O2v1,O2ac,Typeable,-,99.11%,-
GCA_900451435.1_32512_E01_genomic,NCTC13440,Unknown,NCTC,PRJEB6403,SAMEA2709037,Unknown,Unknown,Unknown,NA,NA,Unknown,5297680,3,58667,5177600,1765893,5177600,0,57.5,Klebsiella pneumoniae,584,Novel,"0,0,52,4,*,*,*,*,*,*",2004,584,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,SHV-12,-,VIM-1,SHV-168^,146V;238S;240K;35Q,-,-,-,Carb without colistin,KL38,Capsule null,Typeable,!,96.60%,-,O3b,O3b,Typeable,-,99.66%,-
GCA_900451445.1_49923_D01_genomic,NCTC13809,Urine,NCTC,PRJEB6403,SAMEA4362419,Human (42 year old male),2007,Unknown,NA,NA,Unknown,5774474,5,15110,5379490,1154894,5379490,0,57.1,Klebsiella pneumoniae,258,676,"0,0,105,6,0,0,17,0,1,0",258,258,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",TEM-1D.v1^,-,-,-,KPC-2,SHV-11;SHV-11,35Q;35Q,OmpK35-25%,-,GyrA-83I;ParC-80I,Carb without colistin,KL107,unknown (KL107),Typeable,-,99.99%,-,O1/O2v2,O2afg,Typeable,-,99.09%,-
GCA_900451455.1_45532_C02_genomic,NCTC13672,Unknown,NCTC,PRJEB6403,SAMEA3919795,Unknown,1917/1940,Unknown,NA,NA,Unknown,5225216,6,2862,5075336,870869,5075336,0,57.5,Klebsiella pneumoniae,82,3704,"0,0,438,0,1,0,0,0,0,0",82,82,Klebsiella pneumoniae,-,-,-,-,rmp 2A; plasmid/chr (truncated),-,"ybt, clb and iuc negative",-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL1,K1,Typeable,!,99.54%,-,O1/O2v1,O1ab,Typeable,-,99.28%,-
GCA_900451465.1_31436_F01_genomic,NCTC9140,Unknown,NCTC,PRJEB6403,SAMEA2689770,Unknown,Unknown,Unknown,NA,NA,Unknown,5641735,7,3811,5335979,805962,5335979,0,57.2,Klebsiella pneumoniae,3776,Novel,"0,0,*,*,*,*,*,*,*,*",Not tested,Not tested,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-75,-,-,PmrB-88%,-,ESBL and Carb negative,KL148,unknown (KL148),Untypeable,?2-!,85.71%,KL148_05_wzb;KL148_08;KL148_12_wbaZ;KL148_14_gnd;KL148_19_ugd;KL148_03_wzi;KL148_04_wza;KL148_09_wcuP;KL148_13_wzx;KL148_06_wzc;KL148_18_rmlC;KL148_10;KL148_17_rmlD;KL148_11;KL148_02_cpsACP;KL148_07_wcaJ,O1/O2v1,O1a,Typeable,!,92.60%,-
GCA_900451475.1_46514_E02_genomic,NCTC13686,Right antral washout,NCTC,PRJEB6403,SAMEA4557828,Unknown,1917/1940,Unknown,NA,NA,Unknown,5452027,5,44946,5078186,1090405,5078186,0,56.9,Klebsiella pneumoniae,3766,5346,"0,0,439,2,0,0,0,0,0,0",91,91,Klebsiella pneumoniae,ybt 10; ICEKp4 (truncated),-,iuc 2A (truncated),-,-,-,iuc and ybt (without clb),-,-,-,-,-,SHV-11^,35Q,-,-,-,ESBL and Carb negative,KL4,K4,Untypeable,+!,99.87%,-,O1/O2v1,O2ac,Typeable,!,99.40%,-
GCA_900451495.1_44787_D01_genomic,NCTC13700,Unknown,NCTC,PRJEB6403,SAMEA3879497,Unknown,Unknown,Unknown,NA,NA,Unknown,5607226,5,59103,5226701,1121445,5226701,0,56.8,Klebsiella pneumoniae,3768,5351,"0,0,439,3,0,0,0,0,0,0",91,91,Klebsiella pneumoniae,ybt 10; ICEKp4,-,iuc 2A,-,-,-,iuc and ybt (without clb),-,-,-,-,-,SHV-11^,35Q,-,-,-,ESBL and Carb negative,KL4,K4,Untypeable,+!,99.88%,-,O1/O2v1,O2ac,Typeable,!,99.53%,-
GCA_900451505.1_49923_E01_genomic,NCTC13810,Unknown,NCTC,PRJEB6403,SAMEA4362420,Unknown,1900/2016,Unknown,NA,NA,Unknown,5469089,53,2242,400879,103190,209618,0,57.1,Klebsiella pneumoniae,14,3711,"0,0,1,1,18,0,0,0,0,0",14,14,Klebsiella pneumoniae,ybt 10; ICEKp4,-,-,-,-,-,ybt only,TEM-1D.v1^;TEM-1D.v1^;TEM-1D.v1^,-,-,-,-,SHV-11^,35Q,OmpK36-31%,MgrB-49%,GyrA-83F,ESBL and Carb negative,KL2,K2,Typeable,-,99.82%,-,O1/O2v1,O1ab,Typeable,-,99.97%,-
GCA_900451515.1_45532_D02_genomic,NCTC13673,Left antral washout,NCTC,PRJEB6403,SAMEA3919796,Unknown,1917/1920,Unknown,NA,NA,Unknown,5401424,7,12796,5001518,771632,5001518,0,57.2,Klebsiella pneumoniae,82,3705,"0,0,438,0,1,0,0,1,0,0",82,82,Klebsiella pneumoniae,-,-,-,-,rmp 2A; plasmid/chr (truncated),-,"ybt, clb and iuc negative",-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL1,Capsule null,Typeable,!,99.46%,-,O1/O2v1,O1ab,Typeable,!,99.28%,-
GCA_900451535.1_46514_D02_genomic,NCTC13685,Right antral washout,NCTC,PRJEB6403,SAMEA4557827,Unknown,1917/1940,Unknown,NA,NA,Unknown,5483705,5,40478,5092101,1096741,5092101,0,56.9,Klebsiella pneumoniae,3766,5345,"0,0,439,2,0,0,0,0,0,0",91,91,Klebsiella pneumoniae,ybt 10; ICEKp4 (truncated),-,iuc 2A,-,-,-,iuc and ybt (without clb),-,-,-,-,-,SHV-11^,35Q,-,-,-,ESBL and Carb negative,KL4,K4,Untypeable,+!,99.87%,-,O1/O2v1,O2ac,Typeable,!,99.40%,-
GCA_900451545.1_32512_D01_genomic,NCTC13439,Unknown,NCTC,PRJEB6403,SAMEA2709036,Unknown,Unknown,Unknown,NA,NA,Unknown,5735418,4,65700,5291130,1433854,5291130,0,56.9,Klebsiella pneumoniae,3761,Novel,"0,0,166,*,*,*,*,*,*,*",54,Not tested,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,SHV-12,-,VIM-1,SHV-11^,238S;240K;35Q;35Q,-,-,-,Carb without colistin,KL14,Capsule null,Typeable,!,99.99%,-,O3b,O3b,Typeable,-,99.71%,-
GCA_900451555.1_45665_C01_genomic,NCTC13676,Unknown,NCTC,PRJEB6403,SAMEA3919804,Unknown,1917/1941,Unknown,NA,NA,Unknown,5663077,4,72007,5153298,1415769,5153298,0,56.8,Klebsiella pneumoniae,82,5344,"0,0,438,1,2,0,0,0,0,0",82,82,Klebsiella pneumoniae,-,-,iuc 2A,-,rmp 2A; plasmid/chr (truncated),-,iuc (without ybt or clb),-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL1,K1,Typeable,-,99.53%,-,O1/O2v1,O1ab,Typeable,!,99.28%,-
GCA_900451565.1_31436_E01_genomic,NCTC9128,Unknown,NCTC,PRJEB6403,SAMEA2689769,Unknown,Unknown,Unknown,NA,NA,Unknown,5398904,18,3549,1264959,299939,428978,0,57.3,Klebsiella pneumoniae,3774,Novel,"0,0,*,*,*,*,*,*,*,*",Not tested,Not tested,Klebsiella pneumoniae,-,-,-,iro 1 (truncated),rmp 1; KpVP-1 (truncated),rmpA2_6*-55%,"ybt, clb and iuc negative",-,-,-,-,-,SHV-1^,-,OmpK35-59%;OmpK36-1%,-,-,ESBL and Carb negative,KL2,Capsule null,Typeable,?3-!,90.08%,KL2_04_wza;KL2_05_wzb;KL2_06_wzc,O1/O2v1,O2a,Typeable,!,99.53%,-
GCA_900451575.1_36734_E01_genomic,NCTC8172,Unknown,NCTC,PRJEB6403,SAMEA3310340,Unknown,1900/1950,Unknown,NA,NA,Unknown,5388061,2,158742,5229319,2694030,5229319,0,57.4,Klebsiella pneumoniae,505,Novel,"0,0,410,0,*,*,*,*,*,*",505,505,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-108,35Q,-,-,-,ESBL and Carb negative,KL64,K64,Typeable,-,99.93%,-,O1/O2v1,O1a,Typeable,!,99.08%,-
GCA_900451585.1_32868_D02_genomic,NCTC13443,Unknown,NCTC,PRJEB6403,SAMEA2742597,Unknown,Unknown,Unknown,NA,NA,Unknown,5989157,4,74635,5598939,1497289,5598939,0,56.9,Klebsiella pneumoniae,14,Novel,"0,0,*,*,*,*,*,*,*,*",Not tested,Not tested,Klebsiella pneumoniae,ybt 14; ICEKp5 (truncated),-,-,-,-,-,ybt only,CMY-4.v1;OXA-9.v1;TEM-1D.v1^,-,CTX-M-15,-,NDM-1,SHV-11^;SHV-28^,35Q,OmpK35-8%;OmpK36GD,-,ParC-80I,Carb without colistin,KL2,Capsule null,Typeable,!,99.81%,-,O1/O2v1,O2a,Typeable,!,99.76%,-
GCA_900451595.1_45709_D01_genomic,NCTC13669,Unknown,NCTC,PRJEB6403,SAMEA3919793,Unknown,1917/1937,Unknown,NA,NA,Unknown,5587086,8,14560,5145484,698385,5145484,0,56.9,Klebsiella pneumoniae,3764,5341,"0,0,438,1,0,0,0,0,0,0",82,82,Klebsiella pneumoniae,-,-,iuc 2A,-,rmp 2A; plasmid/chr,-,iuc (without ybt or clb),-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL1,K1,Typeable,-,99.53%,-,O1/O2v1,O1ab,Typeable,-,99.28%,-
GCA_900451605.1_45665_A01_genomic,NCTC13675,Sputum,NCTC,PRJEB6403,SAMEA3919798,Unknown,1917/1940,Unknown,NA,NA,Unknown,5712240,7,23462,5015282,816034,5015282,0,56.7,Klebsiella pneumoniae,3764,5343,"0,0,438,1,0,0,0,1,0,0",82,82,Klebsiella pneumoniae,-,-,iuc 2A,-,rmp 2A; plasmid/chr,-,iuc (without ybt or clb),-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL1,K1,Typeable,-,99.53%,-,O1/O2v1,O1ab,Typeable,!,99.28%,-
GCA_900451615.1_45753_A01_genomic,NCTC13684,Unknown,NCTC,PRJEB6403,SAMEA3919811,Unknown,1917/1940,Unknown,NA,NA,Unknown,5433803,6,23697,5059613,905633,5059613,0,57.2,Klebsiella pneumoniae,82,3707,"0,0,438,0,2,0,0,0,0,0",82,82,Klebsiella pneumoniae,-,-,iuc 2A,-,rmp 2A; plasmid/chr (truncated),-,iuc (without ybt or clb),-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL1,K1,Typeable,-,99.54%,-,O1/O2v1,O1ab,Typeable,!,99.28%,-
GCA_900451625.1_32512_C01_genomic,NCTC13438,Unknown,NCTC,PRJEB6403,SAMEA2709035,Unknown,Unknown,Unknown,NA,NA,Unknown,5855343,6,14553,5431823,975890,5431823,0,57,Klebsiella pneumoniae,258,Novel,"0,0,105,6,*,*,*,*,*,*",258,258,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",TEM-1D.v1^,-,-,-,KPC-3,SHV-11;SHV-11,35Q;35Q,OmpK35-25%;OmpK36GD,-,GyrA-83I;ParC-80I,Carb without colistin,KL107,unknown (KL107),Typeable,-,99.99%,KL107_04_wza;KL107_03_wzi,O1/O2v2,O2afg,Typeable,-,99.09%,-
