strain	accession	geo_loc_name	serovar	lon	lat	Assembly	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	MLST_scheme	MLST	K-locus	Best match type K-locus	Problems K-locus	Identity K-locus	Coverage K-locus	Length discrepancy K-locus	Expected genes in locus K-locus	Expected genes in locus, details K-locus	Missing expected genes K-locus	Other genes in locus K-locus	Other genes in locus, details K-locus	Expected genes outside locus K-locus	Expected genes outside locus, details K-locus	Other genes outside locus K-locus	Other genes outside locus, details K-locus	Truncated genes, details K-locus	O-locus	Best match type O-locus	Problems O-locus	Identity O-locus	Coverage O-locus	Length discrepancy O-locus	Expected genes in locus O-locus	Expected genes in locus, details O-locus	Missing expected genes O-locus	Other genes in locus O-locus	Other genes in locus, details O-locus	Expected genes outside locus O-locus	Expected genes outside locus, details O-locus	Other genes outside locus O-locus	Other genes outside locus, details O-locus	Truncated genes, details O-locus	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
MRSN702325	GCA_019927425.1	Kenya: Nairobi		36.8219462	-1.2920659	GCA_019927425.1_ASM1992742v1_genomic	Klebsiella pneumoniae	strong	69	319483	507380	5462968	no	-	kpneumoniae	485	KL183	unknown (KL183)	?3+!	98.35%	99.69%	n/a	19 / 19 (100.00%)	KL183_01_galF,98.99%,100.00%;KL183_02_cpsACP,94.26%,100.00%;KL183_03_wzi,97.27%,100.00%;KL183_04_wza,99.20%,100.00%;KL183_05_wzb,100.00%,100.00%;KL183_06_wzc,99.72%,100.00%;KL183_07_wbaP,99.16%,100.00%;KL183_08,98.35%,100.00%;KL183_09_wcqC,97.66%,100.00%;KL183_10,98.22%,100.00%;KL183_11_wzx,96.23%,100.00%;KL183_12,96.76%,100.00%;KL183_13,98.54%,100.00%;KL183_14_gnd,99.79%,100.00%;KL183_15_rmlB,98.31%,100.00%;KL183_16_rmlA,100.00%,6.23%,partial;KL183_16_rmlA,98.12%,92.04%,partial;KL183_17_rmlD,98.93%,94.59%,partial;KL183_18_rmlC,97.83%,100.00%;KL183_19_ugd,99.74%,100.00%		1	KL12_21_rmlD,100.00%,5.07%,partial	3 / 19 (15.79%)	KL183_15_rmlB,98.59%,100.00%;KL183_16_rmlA,100.00%,5.88%,partial;KL183_18_rmlC,98.34%,98.37%	2	KL150_19_gmd,99.40%,100.00%;KL12_21_rmlD,100.00%,5.07%,truncated	KL12_21_rmlD,100.00%,5.07%,truncated	OL13	O13	?4+!	97.15%	109.00%	n/a	9 / 9 (100.00%)	OL13_01_rfbB,97.46%,100.00%;OL13_01_rfbB,97.18%,100.00%;OL13_02_rfbA,100.00%,5.88%,truncated;OL13_02_rfbA,100.00%,6.23%,partial;OL13_02_rfbA,98.12%,92.04%,partial;OL13_03_rfbD,98.57%,94.59%,partial;OL13_04_rfbC,96.74%,100.00%;OL13_05_wbbL,98.91%,100.00%;OL13_06_wzm,98.92%,100.00%;OL13_07_wzt,99.32%,100.00%;OL13_08_wbbB,95.54%,100.00%;OL13_09_glycosylhydrolase,85.00%,7.72%,truncated		1	O12_03_rfbD,100.00%,5.07%,truncated	1 / 9 (11.11%)	OL13_04_rfbC,96.69%,98.37%	1	O12_03_rfbD,100.00%,5.07%,partial	OL13_02_rfbA,100.00%,5.88%,truncated;OL13_09_glycosylhydrolase,85.00%,7.72%,truncated;O12_03_rfbD,100.00%,5.07%,truncated	ST485	1	0	4	5	ybt 10; ICEKp4	78-1LV	-	0	-	0	-	0	-	0	-	-	strA.v1^;strB.v1	-	-	-	-	-	-	-	sul2*	tet(D)^	-	-	TEM-1D.v1^	-	-	-	-	SHV-1	-	-	-	-	-	aph(3')-Ia*?-0%;aph3-Ia.v1*?-53%	ST485	2	1	1	1	7	1	12	3	12	4	11	3	21	18*	3	10	16	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MRSN730567	GCA_019927435.1	USA: District of Columbia		-77.0368707	38.9071923	GCA_019927435.1_ASM1992743v1_genomic	Klebsiella pneumoniae	strong	123	138120	288446	5396379	no	-	kpneumoniae	1621	KL46	K46	?3!	99.99%	100.00%	n/a	20 / 20 (100.00%)	KL46_01_galF,100.00%,100.00%;KL46_02_cpsACP,100.00%,100.00%;KL46_03_wzi,100.00%,100.00%;KL46_04_wza,100.00%,100.00%;KL46_05_wzb,100.00%,100.00%;KL46_06_wzc,100.00%,100.00%;KL46_07_wcaJ,100.00%,100.00%;KL46_08_wcuD,99.74%,100.00%;KL46_09_wzy,100.00%,100.00%;KL46_10_wcuC,100.00%,100.00%;KL46_11_wcuI,100.00%,100.00%;KL46_12_wcuF,100.00%,100.00%;KL46_13_wcuV,100.00%,100.00%;KL46_14_wclT,100.00%,100.00%;KL46_15_wzx,100.00%,100.00%;KL46_16_wckQ,100.00%,100.00%;KL46_17_gnd,100.00%,100.00%;KL46_18_manC,100.00%,16.99%,partial;KL46_18_manC,100.00%,83.01%,partial;KL46_19_manB,100.00%,7.02%,partial;KL46_19_manB,100.00%,92.76%,partial;KL46_20_ugd,100.00%,100.00%		0		0 / 20 (0.00%)		5	KL50_09_wzx,100.00%,22.54%,truncated;KL50_10,99.24%,100.00%;KL21_18_manB,95.83%,5.26%,partial;KL150_19_gmd,99.40%,100.00%;KL16_20_manC,100.00%,16.77%,truncated	KL50_09_wzx,100.00%,22.54%,truncated;KL16_20_manC,100.00%,16.77%,truncated	O3b	O3b	?4!	99.59%	101.97%	n/a	8 / 8 (100.00%)	O3b_01_manC,98.75%,16.99%,partial;O3b_01_manC,100.00%,16.77%,truncated;O3b_01_manC,99.74%,83.01%,partial;O3b_02_manB,100.00%,7.83%,partial;O3b_02_manB,99.76%,91.96%,partial;O3b_03_wzm,99.23%,100.00%;O3b_04_wzt,99.30%,100.00%;O3b_05_wbdD,99.56%,100.00%;O3b_06_wbdA,99.64%,100.00%;O3b_07_wbdB,99.48%,100.00%;O3b_08_wbdC,100.00%,20.49%,truncated		0		0 / 8 (0.00%)		0		O3b_01_manC,100.00%,16.77%,truncated;O3b_08_wbdC,100.00%,20.49%,truncated	ST1621	0	1	1	1	-	0	-	0	-	0	-	0	-	0	-	wzi97	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-119* +238D	-	-	-	238D;35Q	-	-	-	-	-	ST1621	4	3	1	2	1	1	62	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MRSN728987	GCA_019927465.1	Thailand		100.992541	15.870032	GCA_019927465.1_ASM1992746v1_genomic	Klebsiella pneumoniae	strong	130	114250	436565	5599539	no	-	kpneumoniae	70	KL122	unknown (KL122)		99.86%	100.00%	0 bp	19 / 19 (100.00%)	KL122_01_galF,100.00%,100.00%;KL122_02_cpsACP,99.04%,100.00%;KL122_03_wzi,99.79%,100.00%;KL122_04_wza,100.00%,100.00%;KL122_05_wzb,100.00%,100.00%;KL122_06_wzc,99.72%,100.00%;KL122_07_wzy,99.51%,100.00%;KL122_08_wcuC,100.00%,100.00%;KL122_09_wckM,99.74%,100.00%;KL122_10_wcuQ,100.00%,100.00%;KL122_11_wcuD,100.00%,100.00%;KL122_12,100.00%,100.00%;KL122_13_wzx,99.76%,100.00%;KL122_14_wbaZ,100.00%,100.00%;KL122_15_wcaJ,100.00%,100.00%;KL122_16_gnd,100.00%,100.00%;KL122_17_manC,100.00%,100.00%;KL122_18_manB,99.78%,100.00%;KL122_19_ugd,100.00%,100.00%		0		0 / 19 (0.00%)		4	KL40_03_wcpO,99.19%,100.00%;KL40_04,99.00%,100.00%;KL40_05_rfaG,99.74%,100.00%;KL150_19_gmd,99.09%,98.20%		O1/O2v2	O1ab		99.06%	100.00%	0 bp	10 / 10 (100.00%)	O1/O2v2_01_wzm,100.00%,100.00%;O1/O2v2_02_wzt,99.19%,100.00%;O1/O2v2_03_wbbM,98.73%,100.00%;O1/O2v2_04_glf,98.96%,100.00%;O1/O2v2_05_wbbN,98.99%,100.00%;O1/O2v2_06_wbbO,99.47%,100.00%;O1/O2v2_07_kfoC,98.51%,100.00%;O1/O2v2_08_gmlC,97.33%,100.00%;O1/O2v2_09_gmlB,99.39%,100.00%;O1/O2v2_10_gmlA,100.00%,100.00%		0		0 / 10 (0.00%)		4	OL104_01_manC,91.30%,100.00%;O5_02_manB,93.02%,96.94%;Extra_genes_wbbYZ_01_wbbY,99.86%,100.00%;Extra_genes_wbbYZ_02_wbbZ,99.63%,100.00%		ST70	0	1	10	13	-	0	-	0	-	0	-	0	-	0	-	wzi162	aac(3)-IId^;aadA2	mcr-3.1*	-	qnrS1	-	ereA*	floR.v1*	-	sul1;sul2	tet(A).v1;tetM.v1*	-	dfrA32	TEM-1D.v1^	-	CTX-M-55	-	-	SHV-32	156D	-	-	-	-	-	ST70	2	6	17	1	20	10	25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MRSN699654	GCA_019927485.1	USA: District of Columbia		-77.0368707	38.9071923	GCA_019927485.1_ASM1992748v1_genomic	Klebsiella pneumoniae	strong	138	126507	292710	5459582	no	-	kpneumoniae	1835	KL33 (Untypeable)	Capsule null	-+!	92.78%	41.70%	3509 bp	10 / 21 (47.62%)	KL33_01_galF,99.33%,100.00%;KL33_02_cpsACP,100.00%,100.00%;KL33_03,97.25%,100.00%;KL33_04,97.57%,100.00%;KL33_05,97.70%,100.00%;KL33_06_wza,91.24%,91.71%,truncated;KL33_08_wzc,65.15%,51.45%,truncated,below_id_threshold;KL33_16_wbaZ,85.71%,71.33%,truncated;KL33_20_gnd,98.50%,99.57%;KL33_21_ugd,95.36%,100.00%	KL33_07_wzb;KL33_09_wckM;KL33_10_wckL;KL33_11_wcuQ;KL33_12_wzx;KL33_13_wckK;KL33_14_manC;KL33_15_manB;KL33_17_wcaJ;KL33_18_wzy;KL33_19_wckJ	12	KL65_05_wzb,88.28%,100.00%;KL65_07_wzy,83.89%,99.05%;KL65_09_wcuE,78.09%,98.18%,below_id_threshold;KL65_12_wcaJ,88.60%,100.00%;KL65_13_wzx,86.21%,99.32%;KL65_14_wcuN,83.77%,99.74%;KL107_14,90.20%,100.00%;KL162_17_rmlA,97.92%,100.00%;KL144_19_manC,94.27%,100.00%;KL128_19_rmlB,95.48%,100.00%;KL32_19_rmlC,95.08%,99.46%;KL144_20_manB,91.89%,100.00%	0 / 21 (0.00%)		5	KL50_09_wzx,100.00%,22.54%,truncated;KL50_10,99.05%,100.00%;KL150_19_gmd,93.90%,98.20%;KL30_19_manB,99.35%,98.29%;KL16_20_manC,99.79%,100.00%	KL33_06_wza,91.24%,91.71%,truncated;KL33_08_wzc,65.15%,51.45%,truncated,below_id_threshold;KL33_16_wbaZ,85.71%,71.33%,truncated;KL50_09_wzx,100.00%,22.54%,truncated	O3b	O3b		99.50%	100.00%	0 bp	8 / 8 (100.00%)	O3b_01_manC,100.00%,100.00%;O3b_02_manB,99.35%,100.00%;O3b_03_wzm,99.23%,100.00%;O3b_04_wzt,98.38%,100.00%;O3b_05_wbdD,99.42%,100.00%;O3b_06_wbdA,99.88%,100.00%;O3b_07_wbdB,99.74%,100.00%;O3b_08_wbdC,100.00%,100.00%		0		0 / 8 (0.00%)		4	O12_01_rfbB,93.48%,100.00%;OL102_02_rfbA,95.04%,97.58%;OL13_03_rfbD,90.20%,100.00%;O12_04_rfbC,92.82%,98.37%		ST1835	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11.v1^	35Q	-	-	-	-	-	ST1835	52	1	2	17	7	16	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MRSN699478	GCA_019927505.1	USA: District of Columbia		-77.0368707	38.9071923	GCA_019927505.1_ASM1992750v1_genomic	Klebsiella pneumoniae	strong	127	117548	352284	5227020	no	-	kpneumoniae	2441	KL14	K14	?3!	99.98%	99.93%	n/a	25 / 25 (100.00%)	KL14_01_galF,100.00%,100.00%;KL14_02_cpsACP,100.00%,100.00%;KL14_03_wzi,100.00%,100.00%;KL14_04_wza,100.00%,100.00%;KL14_05_wzb,100.00%,100.00%;KL14_06_wzc,100.00%,100.00%;KL14_07,100.00%,100.00%;KL14_08_wzx,100.00%,100.00%;KL14_09,100.00%,100.00%;KL14_10,100.00%,100.00%;KL14_11,100.00%,100.00%;KL14_12,100.00%,100.00%;KL14_13,100.00%,100.00%;KL14_14,100.00%,100.00%;KL14_15,100.00%,100.00%;KL14_16,100.00%,100.00%;KL14_17_wcaJ,100.00%,100.00%;KL14_18_gnd,100.00%,100.00%;KL14_19_manC,100.00%,98.73%,partial;KL14_20_manB,100.00%,7.91%,truncated;KL14_20_manB,99.77%,91.88%,partial;KL14_21_rmlB,100.00%,100.00%;KL14_22_rmlA,100.00%,100.00%;KL14_23_rmlD,100.00%,100.00%;KL14_24_rmlC,100.00%,100.00%;KL14_25_ugd,99.74%,100.00%		0		0 / 25 (0.00%)		4	KL50_09_wzx,100.00%,22.54%,truncated;KL50_10,99.81%,100.00%;KL28_18_manB,96.55%,6.36%,partial;KL150_19_gmd,99.70%,100.00%	KL14_20_manB,100.00%,7.91%,truncated;KL50_09_wzx,100.00%,22.54%,truncated	O3b	O3b	?2	99.88%	99.85%	n/a	8 / 8 (100.00%)	O3b_01_manC,100.00%,98.73%,partial;O3b_02_manB,100.00%,8.91%,partial;O3b_02_manB,100.00%,90.87%,partial;O3b_03_wzm,100.00%,100.00%;O3b_04_wzt,100.00%,100.00%;O3b_05_wbdD,100.00%,100.00%;O3b_06_wbdA,100.00%,100.00%;O3b_07_wbdB,98.95%,100.00%;O3b_08_wbdC,100.00%,100.00%		0		0 / 8 (0.00%)		4	O12_01_rfbB,98.58%,99.72%;OL13_02_rfbA,97.54%,98.62%;OL13_03_rfbD,98.31%,100.00%;O12_04_rfbC,97.79%,98.37%		ST2441	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11.v1^	35Q	-	-	-	-	-	ST2441	2	1	2	1	12	4	9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MRSN681054	GCA_019927525.1	Philippines		121.774017	12.879721	GCA_019927525.1_ASM1992752v1_genomic	Klebsiella pneumoniae	strong	93	279255	484803	5424678	no	-	kpneumoniae	340	KL15	K15		99.98%	100.00%	1085 bp	16 / 16 (100.00%)	KL15_01_galF,100.00%,100.00%;KL15_02_cpsACP,100.00%,100.00%;KL15_03_wzi,100.00%,100.00%;KL15_04_wza,100.00%,100.00%;KL15_05_wzb,100.00%,100.00%;KL15_06_wzc,100.00%,100.00%;KL15_07_wcaJ,100.00%,100.00%;KL15_08_wceN,100.00%,100.00%;KL15_09_wceM,100.00%,100.00%;KL15_10_wcsR,100.00%,100.00%;KL15_11_wcaN,100.00%,100.00%;KL15_12_wzy,100.00%,100.00%;KL15_13_wckI,99.73%,100.00%;KL15_14_wzx,100.00%,100.00%;KL15_15_gnd,100.00%,100.00%;KL15_16_ugd,100.00%,100.00%		0		0 / 16 (0.00%)		3	KL104_16_wzx,98.07%,100.00%;KL104_17,98.63%,100.00%;KL150_19_gmd,89.91%,97.90%		O4	O4		99.49%	100.00%	0 bp	5 / 6 (83.33%)	O4_01_hydrolase,99.50%,100.00%;O4_02_hypothetical,99.75%,100.00%;O4_03_hypothetical,99.43%,100.00%;O4_04_wzt,100.00%,100.00%;O4_05_wzm,98.77%,100.00%;O4_06_glycosyltransferase,99.48%,100.00%		0		0 / 6 (0.00%)		0			ST340	1	2	9	16	ybt 9; ICEKp3	183	-	0	-	0	-	0	-	0	-	wzi50	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2^;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	erm(42)^	-	-	sul1;sul2	tet(A).v1	-	dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	NDM-7	SHV-11.v1	35Q	-	-	GyrA-83I;ParC-80I	CatB4.v1?-81%	-	ST340	3	3	1	1	1	1	18	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MRSN680172	GCA_019927535.1	USA: District of Columbia		-77.0368707	38.9071923	GCA_019927535.1_ASM1992753v1_genomic	Klebsiella pneumoniae	strong	130	122680	389225	5481244	no	-	kpneumoniae	987	KL46	K46	?3!	99.42%	99.88%	n/a	20 / 20 (100.00%)	KL46_01_galF,99.66%,100.00%;KL46_02_cpsACP,93.30%,100.00%;KL46_03_wzi,97.91%,100.00%;KL46_04_wza,100.00%,100.00%;KL46_05_wzb,100.00%,100.00%;KL46_06_wzc,99.86%,100.00%;KL46_07_wcaJ,100.00%,100.00%;KL46_08_wcuD,99.74%,100.00%;KL46_09_wzy,100.00%,100.00%;KL46_10_wcuC,99.75%,100.00%;KL46_11_wcuI,100.00%,100.00%;KL46_12_wcuF,99.73%,100.00%;KL46_13_wcuV,99.70%,100.00%;KL46_14_wclT,100.00%,100.00%;KL46_15_wzx,99.80%,100.00%;KL46_16_wckQ,99.64%,100.00%;KL46_17_gnd,99.79%,100.00%;KL46_18_manC,99.35%,98.09%,partial;KL46_19_manB,100.00%,7.02%,partial;KL46_19_manB,99.76%,92.76%,partial;KL46_20_ugd,99.74%,100.00%		0		0 / 20 (0.00%)		4	KL50_09_wzx,100.00%,22.54%,truncated;KL50_10,99.81%,100.00%;KL28_18_manB,95.83%,5.26%,partial;KL150_19_gmd,99.10%,100.00%	KL50_09_wzx,100.00%,22.54%,truncated	O3b	O3b	?2	99.92%	99.77%	n/a	8 / 8 (100.00%)	O3b_01_manC,99.78%,98.09%,partial;O3b_02_manB,100.00%,7.83%,partial;O3b_02_manB,99.76%,91.96%,partial;O3b_03_wzm,100.00%,100.00%;O3b_04_wzt,100.00%,100.00%;O3b_05_wbdD,100.00%,100.00%;O3b_06_wbdA,100.00%,100.00%;O3b_07_wbdB,99.74%,100.00%;O3b_08_wbdC,100.00%,100.00%		0		0 / 8 (0.00%)		0			ST987	0	0	5	9	-	0	-	0	-	0	-	0	-	0	-	wzi441	aadA2^;aph3-Ia.v1^;strA.v1*;strB.v1*	-	-	qnrS1	-	mphA	-	-	sul1;sul2	-	-	dfrA12	-	-	-	-	-	SHV-27^	156D	-	-	-	-	-	ST987	2	1	2	6	7	1	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MRSN676980	GCA_019927565.1	USA: North Carolina		-79.01929969999999	35.7595731	GCA_019927565.1_ASM1992756v1_genomic	Klebsiella pneumoniae	strong	88	118452	274217	5073313	no	-	kpneumoniae	198	KL30	K30		97.36%	99.98%	-1 bp	20 / 20 (100.00%)	KL30_01_galF,99.33%,100.00%;KL30_02_cpsACP,99.52%,100.00%;KL30_03_wzi,99.40%,100.00%;KL30_04_wza,100.00%,100.00%;KL30_05_wzb,99.30%,100.00%;KL30_06_wzc,99.03%,100.00%;KL30_07_wcuL,100.00%,100.00%;KL30_08_wzx,100.00%,100.00%;KL30_09_wcuD,97.39%,100.00%;KL30_10_wzy,93.14%,100.00%;KL30_11_wckP,91.99%,100.00%;KL30_12_wckO,93.57%,100.00%;KL30_13_wckN,92.52%,100.00%;KL30_14,94.33%,99.82%;KL30_15_wcuG,91.53%,100.00%;KL30_16_wcaJ,98.06%,100.00%;KL30_17_gnd,99.36%,100.00%;KL30_18_manC,99.15%,100.00%;KL30_19_manB,99.79%,100.00%;KL30_20_ugd,99.74%,100.00%		0		0 / 20 (0.00%)		2	KL40_05_rfaG,98.91%,96.58%;KL150_19_gmd,98.80%,100.00%		O1/O2v1	O1ab		98.97%	99.99%	-3 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,99.59%,100.00%;O1/O2v1_03_wbbM,99.37%,100.00%;O1/O2v1_04_glf,98.44%,100.00%;O1/O2v1_05_wbbN,99.66%,100.00%;O1/O2v1_06_wbbO,98.94%,100.00%;O1/O2v1_07_kfoC,96.80%,100.00%		0		0 / 7 (0.00%)		4	O3b_01_manC,99.58%,100.00%;O3/O3a_02_manB,99.78%,97.39%;Extra_genes_wbbYZ_02_wbbZ,99.63%,100.00%;Extra_genes_wbbYZ_01_wbbY,99.73%,100.00%		ST198	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi85	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-77^	35Q	-	-	-	-	-	ST198	25	33	1	26	7	1	56	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MRSN669510	GCA_019927585.1	Italy: Sienna		11.3305812	43.3184741	GCA_019927585.1_ASM1992758v1_genomic	Klebsiella pneumoniae	strong	210	98836	329783	5728359	no	-	kpneumoniae	17	KL62	K62	?3!	99.62%	100.02%	n/a	19 / 19 (100.00%)	KL62_01_galF,100.00%,100.00%;KL62_02_cpsACP,97.13%,100.00%;KL62_03_wzi,100.00%,100.00%;KL62_04_wza,100.00%,100.00%;KL62_05_wzb,100.00%,100.00%;KL62_06_wzc,99.72%,100.00%;KL62_07_wbaP,99.79%,100.00%;KL62_08,99.48%,100.00%;KL62_09,99.42%,100.00%;KL62_10,100.00%,100.00%;KL62_11_wzy,99.48%,100.00%;KL62_12,100.00%,9.84%,truncated;KL62_12,100.00%,8.57%,truncated;KL62_13,98.89%,100.00%;KL62_14,99.74%,100.00%;KL62_15_wzx,100.00%,100.00%;KL62_16_gnd,100.00%,100.00%;KL62_17_manC,99.79%,100.00%;KL62_18_manB,99.56%,100.00%;KL62_19_ugd,99.48%,100.00%		0		0 / 19 (0.00%)		4	KL40_03_wcpO,99.80%,100.00%;KL40_04,99.75%,100.00%;KL40_05_rfaG,100.00%,100.00%;KL150_19_gmd,100.00%,100.00%	KL62_12,100.00%,9.84%,truncated;KL62_12,100.00%,8.57%,truncated	O1/O2v2	O2afg	?2	99.12%	100.00%	n/a	10 / 10 (100.00%)	O1/O2v2_01_wzm,99.61%,100.00%;O1/O2v2_02_wzt,99.19%,100.00%;O1/O2v2_03_wbbM,98.57%,100.00%;O1/O2v2_04_glf,99.22%,100.00%;O1/O2v2_05_wbbN,98.99%,100.00%;O1/O2v2_06_wbbO,99.73%,100.00%;O1/O2v2_07_kfoC,99.25%,100.00%;O1/O2v2_08_gmlC,97.53%,100.00%;O1/O2v2_09_gmlB,99.08%,100.00%;O1/O2v2_10_gmlA,100.00%,100.00%		0		0 / 10 (0.00%)		2	O3b_01_manC,100.00%,100.00%;O3/O3a_02_manB,99.78%,97.39%		ST17	0	2	6	8	-	0	-	0	-	0	-	0	-	0	-	wzi149	aac(6')-Ib4^;aadA1.v1^;aphA15	-	-	-	-	mphA	catB2.v1	-	sul1	-	-	dfrA14.v2*	-	-	-	-	VIM-1	-	-	-	-	-	SHV-129*?-81%	-	ST17	2	1	1	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MRSN672476	GCA_019927605.1	USA: Virginia		-78.6568942	37.4315734	GCA_019927605.1_ASM1992760v1_genomic	Klebsiella pneumoniae	strong	100	122209	263923	5128579	no	-	kpneumoniae	200	KL39	K39	?3!	99.70%	100.00%	n/a	20 / 20 (100.00%)	KL39_01_galF,100.00%,100.00%;KL39_02_cpsACP,96.65%,100.00%;KL39_03_wzi,99.16%,100.00%;KL39_04_wza,100.00%,100.00%;KL39_05_wzb,100.00%,100.00%;KL39_06_wzc,99.72%,100.00%;KL39_07,99.73%,100.00%;KL39_08_wzy,100.00%,100.00%;KL39_09_mshA,99.70%,100.00%;KL39_10_epsH,100.00%,100.00%;KL39_11_epsJ,99.70%,100.00%;KL39_12_wzx,100.00%,100.00%;KL39_13,100.00%,100.00%;KL39_14,99.38%,100.00%;KL39_15_wbaZ,99.74%,100.00%;KL39_16_wcaJ,100.00%,100.00%;KL39_17_gnd,99.79%,100.00%;KL39_18_manC,100.00%,4.88%,partial;KL39_18_manC,99.78%,94.90%,partial;KL39_19_manB,100.00%,3.29%,partial;KL39_19_manB,100.00%,96.49%,partial;KL39_20_ugd,100.00%,100.00%		0		0 / 20 (0.00%)		4	KL50_09_wzx,100.00%,22.54%,truncated;KL50_10,99.81%,100.00%;KL150_19_gmd,99.70%,100.00%;KL16_20_manC,100.00%,4.67%,truncated	KL50_09_wzx,100.00%,22.54%,truncated;KL16_20_manC,100.00%,4.67%,truncated	O3b	O3b	?3!	99.82%	99.98%	n/a	8 / 8 (100.00%)	O3b_01_manC,100.00%,4.67%,truncated;O3b_01_manC,100.00%,94.90%,partial;O3b_02_manB,100.00%,4.13%,partial;O3b_02_manB,99.77%,95.65%,partial;O3b_03_wzm,99.23%,100.00%;O3b_04_wzt,99.77%,100.00%;O3b_05_wbdD,100.00%,100.00%;O3b_06_wbdA,99.64%,100.00%;O3b_07_wbdB,99.74%,100.00%;O3b_08_wbdC,100.00%,100.00%		0		0 / 8 (0.00%)		0		O3b_01_manC,100.00%,4.67%,truncated	ST200	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST200	2	1	2	1	12	1	68	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
