Accession,Genome ID,Genome Name,Genome Length,No. Contigs,Smallest Contig,Largest Contig,Average Contig Length,N50,non-ATCG,GC Content,Organism Name,ST,cgST,LIN code,Sublineage,Clonal Group,species,Yersiniabactin,Colibactin,Aerobactin,Salmochelin,RmpADC,rmpA2,virulence_score,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,resistance_score,K_locus,K_type,K_locus_confidence,K_locus_problems,K_locus_identity,K_Missing_expected_genes,O_locus,O_type,O_locus_confidence,O_locus_problems,O_locus_identity,O_Missing_expected_genes
BAA-3074,67b44237ce6d6870a70f53e2,Klebsiella_pneumoniae_ATCC_BAA_3074,5797456,5,754,5442769,1159491,5442769,0,57,Klebsiella pneumoniae,11,Novel,"0,0,105,2,0,0,2,7,*,*",258,11,Klebsiella pneumoniae,ybt 9; ICEKp3,-,iuc 1,-,-,rmpA2_6-60%,iuc and ybt (without clb),TEM-1D.v1^,-,CTX-M-65,-,KPC-2,SHV-11,35Q,OmpK35-17%;OmpK36GD,-,GyrA-83I;GyrA-87G;ParC-80I,Carb without colistin,KL47,K47,Typeable,-,99.65%,-,OL13,O13,Typeable,+!,97.64%,-
GCA_019930185.1,67b44237ce6d6871320f52a4,GCA_019930185.1_ASM1993018v1_genomic,5629088,149,209,274889,37779,123343,0,56.8,Klebsiella pneumoniae,309,Novel,"0,0,109,25,0,*,*,*,*,*",37,309,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",CARB-2.v1,-,-,-,-,SHV-11^,35Q,-,-,-,ESBL and Carb negative,KL42,K42,Typeable,-,100.00%,-,O4,O4,Typeable,-,99.93%,-
33495,67b44237ce6d6871c20f53ff,Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_33495,5487722,17,108,2823469,322807,2823469,0,57.2,Klebsiella pneumoniae,4073,Novel,"0,0,994,0,*,*,*,*,*,*",11134,11997,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-37,35Q,-,-,-,ESBL and Carb negative,KL5,Capsule null,Typeable,!,99.95%,-,O1/O2v1,O1ab,Typeable,-,98.93%,-
GCA_900452155.1,67b44237ce6d6872780f534e,GCA_900452155.1_36725_F01_genomic,5626858,4,34356,5395796,1406714,5395796,0,57.3,Klebsiella pneumoniae,3777,Novel,"0,0,1147,*,*,*,*,*,*,*",10889,Not tested,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-25,35Q,OmpK36-81%,-,-,ESBL and Carb negative,KL25,Capsule null,Typeable,!,99.66%,-,O3/O3a,O3/O3a,Typeable,!,99.50%,-
GCA_019930405.1,67b44237ce6d68731f0f52ae,GCA_019930405.1_ASM1993040v1_genomic,5818247,143,200,298997,40687,112059,0,56.8,Klebsiella pneumoniae,234,Novel,"0,0,366,0,1,*,*,*,*,*",234,234,Klebsiella pneumoniae,ybt 17; ICEKp10,clb 3,-,-,-,-,clb + ybt (or clb only),CARB-2.v1^;FOX-5,-,-,-,-,SHV-27,156D,-,-,GyrA-83F,ESBL and Carb negative,KL30,K30,Typeable,!,97.57%,-,O1/O2v2,O1ab,Typeable,-,99.65%,-
GCA_901421965.1,67b44237ce6d6873cb0f5396,GCA_901421965.1_38015_G01_genomic,5159775,1,5159775,5159775,5159775,5159775,0,57.6,Klebsiella pneumoniae,Novel,Novel,"0,0,22,*,*,*,*,*,*,*",17,Not tested,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-1,-,-,-,-,ESBL and Carb negative,KL51,Capsule null,Typeable,!,99.79%,-,O3b,O3b,Typeable,!,99.45%,-
GCA_900451285.1,67b44237ce6d6873df0f52ff,GCA_900451285.1_52313_E01_genomic,5508105,2,205335,5302770,2754052,5302770,0,57.2,Klebsiella pneumoniae,375,45,"0,0,390,0,0,2,0,0,0,0",375,375,Klebsiella pneumoniae,-,-,iuc 1,iro 1 (truncated),rmp 1; KpVP-1,rmpA2_3-47%,iuc (without ybt or clb),-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL2,K2,Typeable,-,99.51%,-,O1/O2v2,O1ab,Typeable,!,96.37%,-
GCA_019928285.1,67b44237ce6d6873f30f5288,GCA_019928285.1_ASM1992828v1_genomic,5546266,139,204,316846,39901,109415,0,57.2,Klebsiella pneumoniae,686,Novel,"0,0,1038,0,0,*,*,*,*,*",10974,11749,Klebsiella pneumoniae,ybt 14; ICEKp2,-,-,-,-,-,ybt only,LAP-2;TEM-1D.v1^,-,CTX-M-14,-,-,SHV-11^,35Q,-,-,-,ESBL only,KL5,K5,Typeable,-,99.97%,-,O1/O2v1,O1ab,Typeable,-,98.89%,-
GCA_900452125.1,67b44237ce6d6874120f534b,GCA_900452125.1_31289_F01_genomic,5510126,4,17950,4800590,1377531,4800590,0,57.1,Klebsiella pneumoniae,3818,Novel,"0,0,*,*,*,*,*,*,*,*",Not tested,Not tested,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL3,Capsule null,Typeable,!,98.22%,-,O1/O2v2,O2afg,Typeable,!,99.08%,-
GCA_019930305.1,67b44237ce6d6874340f52a9,GCA_019930305.1_ASM1993030v1_genomic,5370241,125,203,239329,42961,96133,0,57.4,Klebsiella pneumoniae,39,Novel,"0,0,107,0,1,7,0,*,*,*",39,39,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-11^,35Q,-,-,-,ESBL and Carb negative,KL23,K23,Typeable,-,99.94%,-,O1/O2v2,O1ab,Typeable,-,98.91%,-
GCA_900451855.1,67b44237ce6d6874af0f5332,GCA_900451855.1_40311_A01_genomic,5837171,5,97930,5313263,1167434,5313263,0,56.7,Klebsiella pneumoniae,91,5353,"0,0,442,1,0,0,0,0,0,0",10031,10293,Klebsiella pneumoniae,ybt 16; ICEKp12 (truncated),-,iuc 2A,-,-,-,iuc and ybt (without clb),-,-,-,-,-,SHV-11^,35Q,-,-,-,ESBL and Carb negative,KL5,Capsule null,Typeable,!,98.79%,-,O1/O2v1,O2ac,Typeable,!,99.16%,-
GCA_900452085.1,67b44237ce6d6875310f5348,GCA_900452085.1_41315_H02_genomic,5769132,7,7948,5239101,824161,5239101,0,56.8,Klebsiella pneumoniae,3771,Novel,"0,0,*,*,*,*,*,*,*,*",Not tested,Not tested,Klebsiella pneumoniae,ybt 16; ICEKp12 (truncated),-,iuc 2A,-,-,-,iuc and ybt (without clb),-,-,-,-,-,SHV-11^,35Q,-,-,-,ESBL and Carb negative,KL5,Capsule null,Typeable,-!,99.58%,KL5_05_wzb;KL5_06_wzc;KL5_02_cpsACP;KL5_03_wzi;KL5_04_wza;KL5_07,O1/O2v1,O2ac,Typeable,!,99.16%,-
BAA-3073,67b44237ce6d68753e0f53e1,Klebsiella_pneumoniae_ATCC_BAA_3073,5932601,9,613,5174062,659177,5174062,0,56.7,Klebsiella pneumoniae,17,Novel,"0,0,22,12,*,*,*,*,*,*",17,1123,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,SHV-12,-,VIM-42,SHV-11^,238S;240K;35Q;35Q,-,-,-,Carb without colistin,KL122,unknown (KL122),Typeable,-,99.91%,-,O1/O2v2,O1ab,Typeable,-,99.04%,-
700721,67b44237ce6d6875e10f5406,Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_700721,5652019,19,175,5303843,297474,5303843,0,57.2,Klebsiella pneumoniae,38,25330,"0,0,184,0,2,0,0,0,1,0",38,38,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",TEM-1D.v1^;TEM-1D.v1^,-,-,-,-,SHV-11^,35Q,-,-,GyrA-83Y,ESBL and Carb negative,KL52,K52,Typeable,?2-,100.00%,KL52_09_wcoY;KL52_12_wcaN;KL52_10_wcoX;KL52_14;KL52_15_wcpG;KL52_13_wzy;KL52_11_wcuS,OL13,O13,Typeable,!,96.58%,-
BAA-3067,67b44237ce6d68767e0f53db,Klebsiella_pneumoniae_ATCC_BAA_3067,5596027,2,216975,5379052,2798013,5379052,0,57.2,Klebsiella pneumoniae,11,Novel,"0,0,105,0,*,*,*,*,*,*",258,340,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",OXA-9.v1;TEM-1D.v1^,-,OXA-163,-,-,SHV-11,35Q,OmpK35-41%;OmpK36-71%,-,GyrA-83I;ParC-80I,ESBL only,KL64,K64,Typeable,-,99.99%,-,O1/O2v1,O2a,Typeable,-,99.03%,-
BAA-3066,67b44237ce6d6876b30f53da,Klebsiella_pneumoniae_ATCC_BAA_3066,5678469,13,149,5394163,436805,5394163,0,57,Klebsiella pneumoniae,147,Novel,"0,0,197,0,4,0,10,11,*,*",147,147,Klebsiella pneumoniae,ybt 10; ICEKp4,-,-,-,-,-,ybt only,-,-,CTX-M-15,-,OXA-181,SHV-11^,35Q,OmpK35-76%;OmpK36TD,-,GyrA-83I;ParC-80I,Carb without colistin,KL64,K64,Typeable,-,100.00%,-,O1/O2v1,O2a,Typeable,!,99.14%,-
BAA-2789,67b44237ce6d6877080f53d1,Klebsiella_pneumoniae_ATCC_BAA_2789,5663966,4,15271,5363433,1415991,5363433,0,57.2,Klebsiella pneumoniae,258,24620,"0,0,105,6,1,0,5,0,0,0",258,258,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",OXA-9.v1;TEM-1D.v1^,-,SHV-12,-,KPC-3,SHV-11^,238S;240K;35Q;35Q,OmpK35-25%,-,GyrA-83I;ParC-80I,Carb without colistin,KL107,unknown (KL107),Typeable,-,99.96%,-,O1/O2v2,O2afg,Typeable,-,99.09%,-
GCA_019928465.1,67b44237ce6d68775b0f5291,GCA_019928465.1_ASM1992846v1_genomic,5276229,124,200,294393,42550,106962,0,57.4,Klebsiella pneumoniae,15,Novel,"0,0,0,0,2,11,0,*,*,*",15,15,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-28^,-,OmpK35-59%,-,GyrA-83F;GyrA-87A;ParC-80I,ESBL and Carb negative,KL146,unknown (KL146),Typeable,?2,97.37%,-,O1/O2v2,O1ab,Typeable,-,99.00%,-
GCA_901420255.1,67b44237ce6d6878320f5379,GCA_901420255.1_36005_C01_genomic,5374471,7,2097,4969475,767781,4969475,0,57,Klebsiella pneumoniae,82,Novel,"0,0,438,*,*,*,*,*,*,*",82,Not tested,Klebsiella pneumoniae,-,-,iuc 2A,-,rmp 2A; plasmid/chr (truncated),-,iuc (without ybt or clb),-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL1,Capsule null,Typeable,!,98.31%,-,O1/O2v1,O1ab,Typeable,!,99.17%,-
GCA_900451505.1,67b44237ce6d6878790f5310,GCA_900451505.1_49923_E01_genomic,5469089,53,2242,400879,103190,209618,0,57.1,Klebsiella pneumoniae,14,3711,"0,0,1,1,18,0,0,0,0,0",14,14,Klebsiella pneumoniae,ybt 10; ICEKp4,-,-,-,-,-,ybt only,TEM-1D.v1^;TEM-1D.v1^;TEM-1D.v1^,-,-,-,-,SHV-11^,35Q,OmpK36-31%,MgrB-49%,GyrA-83F,ESBL and Carb negative,KL2,K2,Typeable,-,99.82%,-,O1/O2v1,O1ab,Typeable,-,99.97%,-
GCA_901420185.1,67b44237ce6d6878790f5377,GCA_901420185.1_36340_E02_genomic,5464700,13,2859,2239766,420361,1588167,0,57.4,Klebsiella pneumoniae,29,Novel,"0,0,137,*,*,*,*,*,*,*",29,Not tested,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-187,-,-,MgrB-49%,-,ESBL and Carb negative,KL30,Capsule null,Typeable,?2-!,95.27%,KL30_11_wckP;KL30_01_galF;KL30_10_wzy;KL30_09_wcuD;KL30_02_cpsACP,O3b,O3b,Untypeable,-,99.78%,O3b_08_wbdC;O3b_06_wbdA;O3b_07_wbdB;O3b_03_wzm;O3b_05_wbdD;O3b_04_wzt
BAA-1905,67b44237ce6d6878970f53c4,Klebsiella_pneumoniae_ATCC_BAA_1905,5921420,10,138,5406871,592142,5406871,0,57,Klebsiella pneumoniae,258,673,"0,0,105,6,0,0,0,0,0,0",258,258,Klebsiella pneumoniae,ybt 17; ICEKp10,clb 3,-,-,-,-,clb + ybt (or clb only),TEM-1D.v1^,-,SHV-12,-,KPC-2,SHV-11,238S;240K;35Q;35Q,OmpK35-25%,-,GyrA-83I;ParC-80I,Carb without colistin,KL51,K51,Typeable,-,99.83%,-,O3b,O3b,Typeable,-,99.61%,-
BAA-3064,67b44237ce6d6878e50f53d8,Klebsiella_pneumoniae_ATCC_BAA_3064,5639955,13,135,5498669,433842,5498669,0,57,Klebsiella pneumoniae,101,Novel,"0,0,84,0,8,0,9,*,*,*",101,101,Klebsiella pneumoniae,ybt 9; ICEKp3,-,-,-,-,-,ybt only,OXA-9.v1;TEM-1D.v1^;TEM-1D.v1^,-,CTX-M-14^,-,OXA-48,SHV-1^,-,OmpK35-17%;OmpK36GD,-,GyrA-83Y;GyrA-87N;ParC-80I,Carb without colistin,KL17,K17,Typeable,-,99.97%,-,O1/O2v1,O1ab,Typeable,!,98.89%,-
GCA_019927655.1,67b44237ce6d6879460f526a,GCA_019927655.1_ASM1992765v1_genomic,5629201,82,212,525346,68648,257934,0,57.1,Klebsiella pneumoniae,1838,Novel,"0,0,326,1,0,1,0,*,*,*",1877,1838,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,CTX-M-15,-,-,SHV-11^,35Q,-,-,-,ESBL only,KL14,K14,Typeable,?3,99.87%,-,O3b,O3b,Typeable,?4,99.64%,-
GCA_026891145.1,67b44237ce6d687a4d0f52b9,GCA_026891145.1_ASM2689114v1_genomic,5468618,268,201,359313,20405,192273,290,57.2,Klebsiella pneumoniae,896,Novel,"0,0,109,36,3,0,1,*,*,*",37,896,Klebsiella pneumoniae,ybt 10; ICEKp4,-,-,-,-,-,ybt only,-,-,-,-,-,SHV-11^,35Q,-,-,-,ESBL and Carb negative,KL3,K3,Typeable,?3!,99.72%,-,O1/O2v2,O2afg,Typeable,?3,99.19%,-
GCA_900451695.1,67b44237ce6d687a9e0f5322,GCA_900451695.1_37637_D01_genomic,5360814,24,2504,1922599,223367,500003,0,56.9,Klebsiella pneumoniae,3781,Novel,"0,0,*,*,*,*,*,*,*,*",Not tested,Not tested,Klebsiella pneumoniae,-,-,iuc 2A (truncated),-,-,-,iuc (without ybt or clb),-,-,-,-,-,SHV-11^,35Q,OmpK35-49%,-,-,ESBL and Carb negative,KL4,Capsule null,Typeable,+!,99.77%,-,O1/O2v1,O2ac,Typeable,!,98.39%,-
GCA_019928385.1,67b44237ce6d687b1e0f528d,GCA_019928385.1_ASM1992838v1_genomic,5219227,84,204,346620,62133,109398,0,57.5,Klebsiella pneumoniae,5448,Novel,"0,0,787,0,*,*,*,*,*,*",10474,10975,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-1^,-,-,-,-,ESBL and Carb negative,KL125,unknown (KL125),Typeable,-,93.51%,-,O3/O3a,O3/O3a,Typeable,-,98.23%,-
GCA_019928065.1,67b44237ce6d687ba30f527e,GCA_019928065.1_ASM1992806v1_genomic,5239231,105,201,291805,49897,107001,0,57.4,Klebsiella pneumoniae,342,Novel,"0,0,1384,0,*,*,*,*,*,*",11450,12559,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-60,35Q,-,-,-,ESBL and Carb negative,KL30,K30,Typeable,-,97.39%,-,O1/O2v2,O1ab,Typeable,-,99.22%,-
BAA-3069,67b44237ce6d687d3a0f53dd,Klebsiella_pneumoniae_ATCC_BAA_3069,5562093,11,131,5351921,505644,5351921,0,57.2,Klebsiella pneumoniae,258,Novel,"0,0,105,6,0,0,0,0,*,*",258,258,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",TEM-1D.v1^,-,-,-,KPC-2;KPC-2,SHV-11,35Q,OmpK35-25%,MgrB-60%,GyrA-83I;ParC-80I,Carb with colistin,KL106,unknown (KL106),Typeable,+!,100.00%,-,O1/O2v2,O2afg,Typeable,-,99.09%,-
GCA_040271115.1,67b44237ce6d687d4f0f52c6,GCA_040271115.1_ASM4027111v1_genomic,5510059,58,1037,667883,95001,315880,1200,57.3,Klebsiella pneumoniae,14,Novel,"0,0,1,1,26,*,*,*,*,*",14,14,Klebsiella pneumoniae,ybt 13; ICEKp2,-,-,-,-,-,ybt only,-,SHV-106* +69I,-,-,VIM-1,-,69I,-,-,-,Carb without colistin,KL2,Capsule null,Typeable,!,99.82%,-,O1/O2v1,O1ab,Typeable,!,100.00%,-
BAA-2784,67b44237ce6d687d7b0f53cc,Klebsiella_pneumoniae_ATCC_BAA_2784,5564720,3,72947,5366540,1854906,5366540,0,57.2,Klebsiella pneumoniae,258,Novel,"0,0,105,6,0,0,17,5,*,*",258,258,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,SHV-12,-,KPC-3,SHV-11^,238S;240K;35Q;35Q,OmpK35-25%;OmpK36-0%,-,GyrA-83I;GyrA-87N;ParC-80I,Carb without colistin,KL107,Capsule null,Typeable,!,99.97%,-,O1/O2v2,O2afg,Typeable,-,99.09%,-
GCA_900451405.1,67b44237ce6d687d8f0f5307,GCA_900451405.1_31885_D02_genomic,5414864,2,145569,5269295,2707432,5269295,0,57.4,Klebsiella pneumoniae,3756,Novel,"0,0,*,*,*,*,*,*,*,*",Not tested,Not tested,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL149,unknown (KL149),Typeable,!,99.25%,-,O3b,O3b,Typeable,-,99.64%,-
GCA_900452525.1,67b44237ce6d687df30f535b,GCA_900452525.1_37509_C01_genomic,5554146,9,16153,3448577,617127,3448577,0,56.9,Klebsiella pneumoniae,3782,Novel,"0,0,*,*,*,*,*,*,*,*",Not tested,Not tested,Klebsiella pneumoniae,-,-,iuc 2A (truncated),-,rmp 2A; plasmid/chr (truncated),-,iuc (without ybt or clb),-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL1,Capsule null,Typeable,!,91.04%,-,O1/O2v1,O1ab,Typeable,!,98.40%,-
GCA_900451765.1,67b44237ce6d687dfe0f5329,GCA_900451765.1_38977_D01_genomic,5715349,7,16366,5314681,816478,5314681,0,56.4,Klebsiella pneumoniae,91,Novel,"0,0,439,4,0,*,*,*,*,*",91,91,Klebsiella pneumoniae,ybt 10; ICEKp12 (truncated),-,iuc 2A,-,rmp 2A; plasmid/chr (truncated),-,iuc and ybt (without clb),-,-,-,-,-,SHV-11^,35Q,-,-,-,ESBL and Carb negative,KL6,K6,Typeable,-,99.33%,-,O1/O2v1,O2ac,Typeable,!,99.12%,-
GCA_900451745.1,67b44237ce6d68802c0f5327,GCA_900451745.1_39111_E02_genomic,5693271,5,8516,5360327,1138654,5360327,0,57,Klebsiella pneumoniae,416,3717,"0,0,10,0,0,0,0,0,0,0",10009,10011,Klebsiella pneumoniae,ybt 17; ICEKp10,clb 3,-,-,-,-,clb + ybt (or clb only),-,-,-,-,-,SHV-14^,-,-,-,-,ESBL and Carb negative,KL23,K23,Typeable,-,99.94%,-,O1/O2v2,O1ab,Typeable,-,99.24%,-
GCA_900451755.1,67b44237ce6d68806c0f5328,GCA_900451755.1_38977_F01_genomic,5599284,6,13285,5303041,933214,5303041,0,57,Klebsiella pneumoniae,3,3713,"0,0,421,0,1,0,0,0,0,0",3,3,Klebsiella pneumoniae,ybt 12; ICEKp10 (truncated),clb 1,-,-,rmp 2A; plasmid/chr,-,clb + ybt (or clb only),-,-,-,-,-,SHV-1^,-,-,-,-,ESBL and Carb negative,KL3,K3,Typeable,!,99.64%,-,O1/O2v1,O1a,Typeable,!,99.08%,-
GCA_019930485.1,67b44237ce6d6880840f52b2,GCA_019930485.1_ASM1993048v1_genomic,5578508,258,202,257857,21622,79352,0,57.2,Klebsiella pneumoniae,4833,Novel,"0,0,1232,0,*,*,*,*,*,*",11545,12808,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL31,K31,Typeable,?4-,95.74%,KL31_14_wctI;KL31_15_wzx;KL31_16_wcuJ;KL31_13_wctH,O5,O5,Typeable,?2,99.69%,-
GCA_045261635.1,67b44237ce6d6883bf0f52e3,GCA_045261635.1_ASM4526163v1_genomic,5415533,80,509,344970,67694,139538,0,57.3,Klebsiella pneumoniae,37,Novel,"0,0,109,1,*,*,*,*,*,*",37,37,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-11^,35Q,-,-,-,ESBL and Carb negative,KL12,K12,Typeable,?5,99.95%,-,OL103,unknown (OL103),Typeable,-,97.70%,-
GCA_019930445.1,67b44237ce6d6884ad0f52b0,GCA_019930445.1_ASM1993044v1_genomic,5210628,101,200,328021,51590,122667,0,57.5,Klebsiella pneumoniae,37,Novel,"0,0,109,1,53,*,*,*,*,*",37,37,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",TEM-1D.v1^,-,CTX-M-3,-,-,SHV-11^,35Q,-,-,-,ESBL only,KL38,K38,Typeable,-,99.84%,-,O3b,O3b,Typeable,-,99.67%,-
GCA_900452185.1,67b44237ce6d6885250f5351,GCA_900452185.1_31769_G01_genomic,5497760,2,213869,5283891,2748880,5283891,0,57.3,Klebsiella pneumoniae,3816,Novel,"0,0,429,*,*,*,*,*,*,*",23,Not tested,Klebsiella pneumoniae,-,-,iuc 1,iro 1,rmp 1; KpVP-1 (truncated),rmpA2_6*-55%,iuc (without ybt or clb),-,-,-,-,-,SHV-11^,35Q,-,-,-,ESBL and Carb negative,KL1,Capsule null,Typeable,!,96.74%,-,O1/O2v2,O2afg,Typeable,!,99.14%,-
GCA_901420955.1,67b44237ce6d6886020f538e,GCA_901420955.1_40345_C01_genomic,5512170,6,5726,5396605,918695,5396605,0,57.3,Klebsiella pneumoniae,Novel,Novel,"0,0,219,*,*,*,*,*,*,*",502,Not tested,Klebsiella pneumoniae,ybt 14; ICEKp5 (truncated),-,-,-,-,-,ybt only,-,-,-,-,-,SHV-62,35Q,OmpK36-63%,-,-,ESBL and Carb negative,KL15,K15,Typeable,!,99.82%,-,O4,O4,Typeable,-,99.56%,-
13882,67b44237ce6d6886730f53f1,Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_13882,5387962,2,158741,5229221,2693981,5229221,0,57.4,Klebsiella pneumoniae,505,Novel,"0,0,410,0,0,0,0,0,*,*",505,505,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-108,35Q,-,-,-,ESBL and Carb negative,KL64,K64,Typeable,-,99.93%,-,O1/O2v1,O1ab,Typeable,-,99.08%,-
GCA_019927885.1,67b44237ce6d6886830f5275,GCA_019927885.1_ASM1992788v1_genomic,5523414,111,200,420460,49760,135311,0,57.2,Klebsiella pneumoniae,788,Novel,"0,0,227,7,0,*,*,*,*,*",1626,12252,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",OXA-1;TEM-1D.v1^,SHV-52,CTX-M-15,-,-,-,35Q;69I,-,-,-,ESBL only,KL46,K46,Typeable,?3,99.41%,-,O3b,O3b,Typeable,?2,99.71%,-
GCA_045261435.1,67b44237ce6d6887290f52d9,GCA_045261435.1_ASM4526143v1_genomic,5596428,635,201,948581,8813,345250,416,57,Klebsiella pneumoniae,17,Novel,"0,0,22,19,4,*,*,*,*,*",17,10218,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",TEM-1D.v1^,-,-,-,-,SHV-209*,35Q,-,-,-,ESBL and Carb negative,KL127,unknown (KL127),Typeable,?5,99.98%,-,OL13,O13,Typeable,?4!,96.76%,-
GCA_045261895.1,67b44237ce6d6887460f52f0,GCA_045261895.1_ASM4526189v1_genomic,5510705,62,516,502413,88882,150740,0,57.3,Klebsiella pneumoniae,133,Novel,"0,0,181,0,4,*,*,*,*,*",133,133,Klebsiella pneumoniae,ybt 17; ICEKp10,clb 3,-,-,-,-,clb + ybt (or clb only),-,-,-,-,-,SHV-75,-,-,-,-,ESBL and Carb negative,KL116,unknown (KL116),Typeable,?2!,99.96%,-,O1/O2v1,O1ab,Typeable,-,99.16%,-
GCA_045261595.1,67b44237ce6d6888d60f52e1,GCA_045261595.1_ASM4526159v1_genomic,5008091,51,557,516317,98197,214794,0,57.8,Klebsiella pneumoniae,661,Novel,"0,0,122,0,11,*,*,*,*,*",661,661,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-27,156D,-,-,-,ESBL and Carb negative,KL28,K28,Typeable,?2,99.82%,-,O1/O2v1,O2a,Typeable,-,99.41%,-
GCA_045261455.1,67b44237ce6d688a460f52da,GCA_045261455.1_ASM4526145v1_genomic,6118131,4608,501,109600,1327,1471,5992,54.9,Klebsiella pneumoniae,Novel,Novel,Not tested,Not tested,Not tested,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",TEM-1D.v1^,-,-,-,-,-,-,OmpK35-0%;OmpK36-49%,MgrB-0%,-,ESBL and Carb negative,KL113,unknown (KL113),Typeable,?4,99.80%,-,O3b,O3b,Typeable,-,99.71%,-
25955,67b44237ce6d688d6f0f53f8,Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_25955,5340910,2,232387,5108523,2670455,5108523,0,57.4,Klebsiella pneumoniae,1271,691,"0,0,137,0,0,0,0,0,0,0",29,1271,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-187*,-,-,-,-,ESBL and Carb negative,KL28,Capsule null,Typeable,!,99.76%,-,O1/O2v2,O1ab,Typeable,-,99.61%,-
BAA-2344,67b44237ce6d688e460f53c8,Klebsiella_pneumoniae_ATCC_BAA_2344,5725888,14,103,5305700,408992,5305700,0,57.1,Klebsiella pneumoniae,258,636,"0,0,105,6,0,0,0,53,0,0",258,258,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",TEM-1D.v1^,-,SHV-12,-,KPC-2,SHV-11,238S;240K;35Q;35Q,OmpK35-25%,-,GyrA-83I;ParC-80I,Carb without colistin,KL106,unknown (KL106),Typeable,+!,100.00%,-,O1/O2v2,O2afg,Typeable,-,99.09%,-
GCA_901420865.1,67b44237ce6d688f140f538b,GCA_901420865.1_39888_A01_genomic,5360089,4,13696,5179998,1340022,5179998,0,57.5,Klebsiella pneumoniae,322,Novel,"0,0,3,0,*,*,*,*,*,*",322,322,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-11^,35Q,-,-,-,ESBL and Carb negative,KL17,Capsule null,Typeable,!,99.54%,-,O4,O4,Typeable,-,99.61%,-
GCA_900461505.1,67b44237ce6d688f150f5365,GCA_900461505.1_37554_D01_genomic,5517990,3,51233,5276066,1839330,5276066,0,57.3,Klebsiella pneumoniae,297,Novel,"0,0,378,1,*,*,*,*,*,*",297,297,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-133,-,-,-,-,ESBL and Carb negative,KL10,Capsule null,Typeable,!,96.62%,-,O1/O2v1,O1ab,Typeable,!,98.40%,-
