Assembly	Best match locus	Best match type	Confidence	Problems	Identity	Coverage	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details	Truncated genes, details
GCA_900452005.1_37430_B01_genomic	KL56	Capsule null	Typeable	!	98.36%	99.96%	5 bp	21 / 21 (100.00%)	KL56_01_galF,98.99%,100.00%;KL56_02_cpsACP,95.22%,100.00%;KL56_03_wzi,97.01%,13.99%,truncated;KL56_04_wza,99.73%,100.00%;KL56_05_wzb,100.00%,25.69%,truncated;KL56_06_wzc,99.31%,100.00%;KL56_07_wcaJ,96.50%,60.42%,truncated;KL56_08_wckY,100.00%,100.00%;KL56_09_wcpK,98.59%,80.85%,truncated;KL56_10_wcpL,95.74%,69.44%,truncated;KL56_11_wcpM,97.78%,100.00%;KL56_12_wcuC,98.75%,100.00%;KL56_13_wzy,98.35%,100.00%;KL56_14_wzx,99.41%,100.00%;KL56_15_wcuJ,99.70%,100.00%;KL56_16_gnd,99.15%,100.00%;KL56_17_rmlB,98.31%,100.00%;KL56_18_rmlA,97.54%,98.62%;KL56_19_rmlD,98.65%,100.00%;KL56_20_rmlC,97.28%,100.00%;KL56_21_ugd,99.48%,100.00%		0		4 / 21 (19.05%)	KL56_17_rmlB,96.36%,25.42%,truncated;KL56_18_rmlA,97.54%,98.62%;KL56_19_rmlD,98.65%,100.00%;KL56_20_rmlC,97.27%,99.46%	1	KL150_19_gmd,98.50%,100.00%	KL56_03_wzi,97.01%,13.99%,truncated;KL56_05_wzb,100.00%,25.69%,truncated;KL56_07_wcaJ,96.50%,60.42%,truncated;KL56_09_wcpK,98.59%,80.85%,truncated;KL56_10_wcpL,95.74%,69.44%,truncated;KL56_17_rmlB,96.36%,25.42%,truncated
GCA_900452015.1_36340_D02_genomic	KL16	Capsule null	Typeable	+!	99.94%	98.27%	1341 bp	22 / 22 (100.00%)	KL16_01_galF,100.00%,100.00%;KL16_02_cpsACP,100.00%,100.00%;KL16_03_wzi,100.00%,69.81%,truncated;KL16_04_wza,100.00%,67.11%,truncated;KL16_05_wzb,99.31%,100.00%;KL16_06_wzc,99.86%,100.00%;KL16_07_wzx,100.00%,100.00%;KL16_08_wzy,100.00%,100.00%;KL16_09_gtf1,100.00%,100.00%;KL16_10_vatD,100.00%,100.00%;KL16_11_lacA,99.44%,99.45%;KL16_12_sunS,100.00%,100.00%;KL16_13_gmd,100.00%,36.02%,truncated;KL16_14_fcl,100.00%,84.78%,truncated;KL16_15_gmm,100.00%,100.00%;KL16_16,100.00%,55.69%,truncated;KL16_17_wcaJ,100.00%,100.00%;KL16_18_gnd,100.00%,100.00%;KL16_19,100.00%,100.00%;KL16_20_manC,100.00%,100.00%;KL16_21_manB,100.00%,100.00%;KL16_22_ugd,100.00%,100.00%		1	KL124_03_wzi,88.19%,30.19%,truncated	0 / 22 (0.00%)		2	KL40_05_rfaG,97.89%,99.74%;KL150_19_gmd,99.10%,100.00%	KL16_03_wzi,100.00%,69.81%,truncated;KL16_04_wza,100.00%,67.11%,truncated;KL16_13_gmd,100.00%,36.02%,truncated;KL16_14_fcl,100.00%,84.78%,truncated;KL16_16,100.00%,55.69%,truncated;KL124_03_wzi,88.19%,30.19%,truncated
GCA_900452025.1_36725_E01_genomic	KL42	Capsule null	Typeable	!	97.90%	100.06%	14 bp	20 / 20 (100.00%)	KL42_01_galF,100.00%,100.00%;KL42_02_cpsACP,100.00%,100.00%;KL42_03_wzi,98.98%,82.39%,truncated;KL42_04_wza,100.00%,82.01%,truncated;KL42_05_wzb,100.00%,100.00%;KL42_06_wzc,99.71%,98.20%;KL42_07_wcaJ,71.43%,2.11%,truncated,below_id_threshold;KL42_08_wcuO,100.00%,6.87%,truncated;KL42_09_wzy,100.00%,100.00%;KL42_10_wcpV,94.12%,21.11%,truncated;KL42_11_wcpW,100.00%,18.03%,truncated;KL42_12_wcpX,100.00%,100.00%;KL42_13_manC1,100.00%,100.00%;KL42_14_algC,99.26%,88.21%,truncated;KL42_15_wckG,100.00%,100.00%;KL42_16_wckH,100.00%,29.39%,truncated;KL42_17_wzx,100.00%,29.81%,truncated;KL42_18_glf,100.00%,12.36%,truncated;KL42_19_gnd,94.59%,11.09%,truncated;KL42_20_ugd,100.00%,80.15%,truncated		0		0 / 20 (0.00%)		2	KL150_19_gmd,88.99%,100.30%;KL17_20_ugd,100.00%,8.25%,truncated	KL42_03_wzi,98.98%,82.39%,truncated;KL42_04_wza,100.00%,82.01%,truncated;KL42_07_wcaJ,71.43%,2.11%,truncated,below_id_threshold;KL42_08_wcuO,100.00%,6.87%,truncated;KL42_10_wcpV,94.12%,21.11%,truncated;KL42_11_wcpW,100.00%,18.03%,truncated;KL42_14_algC,99.26%,88.21%,truncated;KL42_16_wckH,100.00%,29.39%,truncated;KL42_17_wzx,100.00%,29.81%,truncated;KL42_18_glf,100.00%,12.36%,truncated;KL42_19_gnd,94.59%,11.09%,truncated;KL42_20_ugd,100.00%,80.15%,truncated;KL17_20_ugd,100.00%,8.25%,truncated
GCA_900452035.1_31885_E02_genomic	KL3	Capsule null	Untypeable	*!	96.56%	99.92%	1530 bp	19 / 19 (100.00%)	KL3_01_galF,99.25%,94.63%,truncated;KL3_02_cpsACP,96.65%,90.87%,truncated;KL3_03_wzi,100.00%,100.00%;KL3_04_wza,99.62%,69.13%,truncated;KL3_05_wzb,99.31%,100.00%;KL3_06_wzc,98.34%,100.00%;KL3_07_wcaJ,99.15%,76.00%,truncated;KL3_08,100.00%,14.94%,truncated;KL3_09,99.22%,40.83%,truncated;KL3_10_pglJ,92.65%,20.68%,truncated;KL3_11,100.00%,49.73%,truncated;KL3_12,100.00%,11.92%,truncated;KL3_13_wzx,78.57%,4.63%,truncated,below_id_threshold;KL3_14,93.85%,17.16%,truncated;KL3_15_wbaZ,100.00%,100.00%;KL3_16_gnd,100.00%,16.43%,truncated;KL3_17_manC,81.28%,100.00%,below_id_threshold;KL3_18_manB,97.06%,21.71%,truncated;KL3_19_ugd,99.74%,100.00%		0		0 / 19 (0.00%)		3	KL40_05_rfaG,98.42%,99.74%;KL105_18_rmlB,94.74%,16.95%,truncated;KL150_19_gmd,100.00%,31.44%,truncated	KL3_01_galF,99.25%,94.63%,truncated;KL3_02_cpsACP,96.65%,90.87%,truncated;KL3_04_wza,99.62%,69.13%,truncated;KL3_07_wcaJ,99.15%,76.00%,truncated;KL3_08,100.00%,14.94%,truncated;KL3_09,99.22%,40.83%,truncated;KL3_10_pglJ,92.65%,20.68%,truncated;KL3_11,100.00%,49.73%,truncated;KL3_12,100.00%,11.92%,truncated;KL3_13_wzx,78.57%,4.63%,truncated,below_id_threshold;KL3_14,93.85%,17.16%,truncated;KL3_16_gnd,100.00%,16.43%,truncated;KL3_18_manB,97.06%,21.71%,truncated;KL105_18_rmlB,94.74%,16.95%,truncated;KL150_19_gmd,100.00%,31.44%,truncated
GCA_900452045.1_55064_E01_genomic	KL3	K3	Typeable	!	99.64%	100.00%	-2 bp	19 / 19 (100.00%)	KL3_01_galF,99.66%,100.00%;KL3_02_cpsACP,97.13%,90.87%,truncated;KL3_03_wzi,100.00%,100.00%;KL3_04_wza,100.00%,100.00%;KL3_05_wzb,100.00%,100.00%;KL3_06_wzc,99.58%,100.00%;KL3_07_wcaJ,100.00%,100.00%;KL3_08,100.00%,100.00%;KL3_09,99.70%,100.00%;KL3_10_pglJ,100.00%,100.00%;KL3_11,99.18%,100.00%;KL3_12,99.74%,100.00%;KL3_13_wzx,99.58%,100.00%;KL3_14,99.75%,100.00%;KL3_15_wbaZ,100.00%,100.00%;KL3_16_gnd,99.79%,100.00%;KL3_17_manC,99.79%,100.00%;KL3_18_manB,99.56%,100.00%;KL3_19_ugd,99.74%,100.00%		0		0 / 19 (0.00%)		2	KL40_05_rfaG,98.94%,99.74%;KL150_19_gmd,98.80%,100.00%	KL3_02_cpsACP,97.13%,90.87%,truncated
GCA_900452055.1_37277_A01_genomic	KL19	Capsule null	Typeable	!	97.07%	99.96%	16 bp	20 / 20 (100.00%)	KL19_01_galF,98.99%,100.00%;KL19_02_cpsACP,90.48%,71.77%,truncated;KL19_03_wzi,97.91%,100.00%;KL19_04_wza,97.88%,100.00%;KL19_05_wzb,97.12%,77.08%,truncated;KL19_06_wzc,97.93%,34.03%,truncated;KL19_07_wcaJ,98.74%,100.00%;KL19_08_wcuF,94.85%,100.00%;KL19_09_wcmY,96.61%,100.00%;KL19_10_wzx,97.07%,100.00%;KL19_11_wctW,97.16%,100.00%;KL19_12_wctX,99.22%,100.00%;KL19_13_wzy,98.84%,100.00%;KL19_14,94.68%,100.00%;KL19_15_gnd,99.57%,100.00%;KL19_16_rmlB,89.19%,25.42%,truncated;KL19_17_rmlA,98.25%,98.62%;KL19_18_rmlD,98.31%,100.00%;KL19_19_rmlC,98.91%,100.00%;KL19_20_ugd,99.74%,100.00%		0		0 / 20 (0.00%)		4	KL40_03_wcpO,97.77%,100.00%;KL40_04,99.50%,100.00%;KL40_05_rfaG,99.74%,100.00%;KL150_19_gmd,99.10%,100.00%	KL19_02_cpsACP,90.48%,71.77%,truncated;KL19_05_wzb,97.12%,77.08%,truncated;KL19_06_wzc,97.93%,34.03%,truncated;KL19_16_rmlB,89.19%,25.42%,truncated
GCA_900452065.1_37554_F01_genomic	KL41	Capsule null	Typeable	+!	95.45%	98.86%	1664 bp	21 / 22 (95.45%)	KL41_01_galF,100.00%,70.67%,truncated;KL41_02_cpsACP,100.00%,100.00%;KL41_03_wzi,100.00%,100.00%;KL41_04_wza,100.00%,77.51%,truncated;KL41_05_wzb,100.00%,100.00%;KL41_06_wzc,99.72%,100.00%;KL41_07_wbaP,100.00%,63.50%,truncated;KL41_08_wcaA,100.00%,11.26%,truncated;KL41_09_wclN,100.00%,100.00%;KL41_10_wclM,100.00%,100.00%;KL41_11,100.00%,100.00%;KL41_12_wzy,100.00%,100.00%;KL41_13_wckF,100.00%,100.00%;KL41_14_glf,100.00%,90.32%,truncated;KL41_15_gnd,100.00%,100.00%;KL41_16,85.71%,7.99%,truncated;KL41_17_wzx,48.28%,6.86%,truncated,below_id_threshold;KL41_18_gnd,96.81%,20.09%,truncated;KL41_19_rmlB,100.00%,10.73%,truncated;KL41_20_rmlA,98.36%,24.91%,truncated;KL41_21_rmlD,90.97%,54.73%,truncated;KL41_22_rmlC,80.00%,5.98%,truncated,below_id_threshold		1	KL186_21_ugd,100.00%,71.13%,truncated	0 / 22 (0.00%)		2	KL44_03_wzi,83.50%,38.99%,truncated;KL150_19_gmd,86.85%,97.90%	KL41_01_galF,100.00%,70.67%,truncated;KL41_04_wza,100.00%,77.51%,truncated;KL41_07_wbaP,100.00%,63.50%,truncated;KL41_08_wcaA,100.00%,11.26%,truncated;KL41_14_glf,100.00%,90.32%,truncated;KL41_16,85.71%,7.99%,truncated;KL41_17_wzx,48.28%,6.86%,truncated,below_id_threshold;KL41_18_gnd,96.81%,20.09%,truncated;KL41_19_rmlB,100.00%,10.73%,truncated;KL41_20_rmlA,98.36%,24.91%,truncated;KL41_21_rmlD,90.97%,54.73%,truncated;KL41_22_rmlC,80.00%,5.98%,truncated,below_id_threshold;KL186_21_ugd,100.00%,71.13%,truncated;KL44_03_wzi,83.50%,38.99%,truncated
GCA_900452075.1_31701_A02_genomic	KL8	Capsule null	Typeable	!	99.61%	99.90%	-19 bp	18 / 18 (100.00%)	KL8_01_galF,100.00%,100.00%;KL8_02_cpsACP,100.00%,100.00%;KL8_03_wzi,100.00%,100.00%;KL8_04_wza,100.00%,100.00%;KL8_05_wzb,99.31%,100.00%;KL8_06_wzc,100.00%,55.54%,truncated;KL8_07_wzy,100.00%,100.00%;KL8_08_wcsG,100.00%,100.00%;KL8_09_wcsH,100.00%,28.41%,truncated;KL8_10_wcsI,100.00%,100.00%;KL8_11_wcsJ,100.00%,63.07%,truncated;KL8_12_wcsK,100.00%,54.98%,truncated;KL8_13_wcsL,100.00%,71.48%,truncated;KL8_14_wcsM,100.00%,79.67%,truncated;KL8_15_wzx,100.00%,33.65%,truncated;KL8_16_wcaJ,100.00%,47.20%,truncated;KL8_17_gnd,99.35%,100.00%;KL8_18_ugd,94.32%,28.61%,truncated		0		0 / 18 (0.00%)		4	KL40_04,99.11%,60.70%,truncated;KL40_05_rfaG,98.77%,56.84%,truncated;KL105_18_rmlB,95.00%,16.95%,truncated;KL150_19_gmd,99.40%,100.00%	KL8_06_wzc,100.00%,55.54%,truncated;KL8_09_wcsH,100.00%,28.41%,truncated;KL8_11_wcsJ,100.00%,63.07%,truncated;KL8_12_wcsK,100.00%,54.98%,truncated;KL8_13_wcsL,100.00%,71.48%,truncated;KL8_14_wcsM,100.00%,79.67%,truncated;KL8_15_wzx,100.00%,33.65%,truncated;KL8_16_wcaJ,100.00%,47.20%,truncated;KL8_18_ugd,94.32%,28.61%,truncated;KL40_04,99.11%,60.70%,truncated;KL40_05_rfaG,98.77%,56.84%,truncated;KL105_18_rmlB,95.00%,16.95%,truncated
GCA_900452085.1_41315_H02_genomic	KL5	K5	Untypeable	-!	99.58%	62.58%	-9147 bp	13 / 19 (68.42%)	KL5_01_galF,99.33%,100.00%;KL5_08_wzx,100.00%,55.42%,truncated;KL5_09,100.00%,100.00%;KL5_10,98.88%,68.66%,truncated;KL5_11,100.00%,82.42%,truncated;KL5_12,99.09%,100.00%;KL5_13,100.00%,100.00%;KL5_14,98.70%,47.56%,truncated;KL5_15_wcaJ,99.36%,100.00%;KL5_16_gnd,100.00%,100.00%;KL5_17_manC,99.58%,100.00%;KL5_18_manB,99.56%,100.00%;KL5_19_ugd,100.00%,100.00%	KL5_02_cpsACP;KL5_03_wzi;KL5_04_wza;KL5_05_wzb;KL5_06_wzc;KL5_07	0		0 / 19 (0.00%)		2	KL40_05_rfaG,97.88%,99.21%;KL150_19_gmd,99.40%,100.00%	KL5_08_wzx,100.00%,55.42%,truncated;KL5_10,98.88%,68.66%,truncated;KL5_11,100.00%,82.42%,truncated;KL5_14,98.70%,47.56%,truncated
GCA_900452095.1_37430_A01_genomic	KL46	K46	Typeable	!	95.07%	99.85%	-9 bp	20 / 20 (100.00%)	KL46_01_galF,100.00%,100.00%;KL46_02_cpsACP,93.30%,100.00%;KL46_03_wzi,96.87%,100.00%;KL46_04_wza,98.41%,100.00%;KL46_05_wzb,97.90%,100.00%;KL46_06_wzc,97.08%,100.00%;KL46_07_wcaJ,97.05%,99.16%;KL46_08_wcuD,89.20%,100.00%;KL46_09_wzy,95.02%,100.00%;KL46_10_wcuC,86.73%,100.25%;KL46_11_wcuI,90.80%,99.71%;KL46_12_wcuF,91.74%,100.00%;KL46_13_wcuV,89.36%,56.76%,truncated;KL46_14_wclT,95.15%,98.90%;KL46_15_wzx,94.44%,77.94%,truncated;KL46_16_wckQ,89.89%,100.00%;KL46_17_gnd,99.36%,100.00%;KL46_18_manC,99.36%,100.00%;KL46_19_manB,100.00%,100.00%;KL46_20_ugd,99.74%,100.00%		0		0 / 20 (0.00%)		2	KL40_05_rfaG,97.61%,99.21%;KL150_19_gmd,99.10%,100.00%	KL46_13_wcuV,89.36%,56.76%,truncated;KL46_15_wzx,94.44%,77.94%,truncated
GCA_900452115.1_36252_A01_genomic	KL35	Capsule null	Typeable	!	100.00%	100.06%	16 bp	20 / 20 (100.00%)	KL35_01_galF,100.00%,100.00%;KL35_02_cpsACP,100.00%,100.00%;KL35_03_wzi,100.00%,100.00%;KL35_04_wza,100.00%,100.00%;KL35_05_wzb,100.00%,100.00%;KL35_06_wzc,100.00%,100.00%;KL35_07_wzy,100.00%,100.00%;KL35_08_wcuC,100.00%,100.00%;KL35_09_wckM,100.00%,42.64%,truncated;KL35_10_wckL,100.00%,71.58%,truncated;KL35_11_wcuQ,100.00%,21.83%,truncated;KL35_12_wzx,100.00%,7.84%,truncated;KL35_13_wckK,100.00%,22.70%,truncated;KL35_14_wbaZ,100.00%,100.00%;KL35_15_wcaJ,100.00%,43.23%,truncated;KL35_16_wclK,100.00%,100.00%;KL35_17_gnd,100.00%,100.00%;KL35_18_manC,100.00%,100.00%;KL35_19_manB,100.00%,100.00%;KL35_20_ugd,100.00%,100.00%		0		2 / 20 (10.00%)	KL35_18_manC,96.63%,24.84%,truncated;KL35_19_manB,99.55%,98.03%	1	KL150_19_gmd,99.40%,100.00%	KL35_09_wckM,100.00%,42.64%,truncated;KL35_10_wckL,100.00%,71.58%,truncated;KL35_11_wcuQ,100.00%,21.83%,truncated;KL35_12_wzx,100.00%,7.84%,truncated;KL35_13_wckK,100.00%,22.70%,truncated;KL35_15_wcaJ,100.00%,43.23%,truncated;KL35_18_manC,96.63%,24.84%,truncated
GCA_900452125.1_31289_F01_genomic	KL3	Capsule null	Typeable	!	98.41%	100.08%	1345 bp	19 / 19 (100.00%)	KL3_01_galF,100.00%,100.00%;KL3_02_cpsACP,95.56%,65.22%,truncated;KL3_03_wzi,99.42%,72.23%,truncated;KL3_04_wza,100.00%,36.41%,truncated;KL3_05_wzb,97.92%,100.00%;KL3_06_wzc,98.81%,58.17%,truncated;KL3_07_wcaJ,99.79%,100.00%;KL3_08,86.11%,22.26%,truncated;KL3_09,99.11%,100.00%;KL3_10_pglJ,99.67%,86.97%,truncated;KL3_11,96.43%,15.85%,truncated;KL3_12,99.44%,47.41%,truncated;KL3_13_wzx,98.52%,58.53%,truncated;KL3_14,100.00%,2.45%,truncated;KL3_15_wbaZ,100.00%,6.51%,truncated;KL3_16_gnd,99.79%,100.00%;KL3_17_manC,99.58%,100.00%;KL3_18_manB,99.56%,100.00%;KL3_19_ugd,100.00%,100.00%		0		0 / 19 (0.00%)		6	KL40_03_wcpO,100.00%,23.12%,truncated;KL40_03_wcpO,100.00%,1.62%,truncated;KL40_04,100.00%,23.63%,truncated;KL4_04_HG290,85.71%,38.11%,truncated;KL40_05_rfaG,96.30%,37.63%,truncated;KL150_19_gmd,96.77%,11.08%,truncated	KL3_02_cpsACP,95.56%,65.22%,truncated;KL3_03_wzi,99.42%,72.23%,truncated;KL3_04_wza,100.00%,36.41%,truncated;KL3_06_wzc,98.81%,58.17%,truncated;KL3_08,86.11%,22.26%,truncated;KL3_10_pglJ,99.67%,86.97%,truncated;KL3_11,96.43%,15.85%,truncated;KL3_12,99.44%,47.41%,truncated;KL3_13_wzx,98.52%,58.53%,truncated;KL3_14,100.00%,2.45%,truncated;KL3_15_wbaZ,100.00%,6.51%,truncated;KL40_03_wcpO,100.00%,23.12%,truncated;KL40_03_wcpO,100.00%,1.62%,truncated;KL40_04,100.00%,23.63%,truncated;KL4_04_HG290,85.71%,38.11%,truncated;KL40_05_rfaG,96.30%,37.63%,truncated;KL150_19_gmd,96.77%,11.08%,truncated
GCA_900452135.1_52579_E01_genomic	KL3	K3	Typeable	!	99.41%	100.00%	1324 bp	19 / 19 (100.00%)	KL3_01_galF,100.00%,100.00%;KL3_02_cpsACP,97.13%,90.87%,truncated;KL3_03_wzi,99.79%,100.00%;KL3_04_wza,100.00%,100.00%;KL3_05_wzb,97.92%,100.00%;KL3_06_wzc,98.75%,100.00%;KL3_07_wcaJ,99.58%,100.00%;KL3_08,100.00%,100.00%;KL3_09,99.11%,100.00%;KL3_10_pglJ,99.72%,100.00%;KL3_11,99.73%,100.00%;KL3_12,99.48%,100.00%;KL3_13_wzx,99.16%,100.00%;KL3_14,99.51%,100.00%;KL3_15_wbaZ,100.00%,100.00%;KL3_16_gnd,99.79%,100.00%;KL3_17_manC,99.58%,100.00%;KL3_18_manB,99.56%,100.00%;KL3_19_ugd,100.00%,100.00%		0		0 / 19 (0.00%)		5	KL40_03_wcpO,99.60%,50.10%,truncated;KL40_03_wcpO,100.00%,1.62%,truncated;KL40_04,99.50%,100.00%;KL40_05_rfaG,99.74%,100.00%;KL150_19_gmd,98.20%,100.00%	KL3_02_cpsACP,97.13%,90.87%,truncated;KL40_03_wcpO,99.60%,50.10%,truncated;KL40_03_wcpO,100.00%,1.62%,truncated
GCA_900452145.2_36252_E01_genomic	KL17	K17	Typeable	!	99.51%	100.06%	11 bp	20 / 20 (100.00%)	KL17_01_galF,100.00%,100.00%;KL17_02_cpsACP,98.56%,100.00%;KL17_03_wzi,98.11%,100.00%;KL17_04_wza,99.47%,100.00%;KL17_05_wzb,100.00%,100.00%;KL17_06_wzc,99.86%,100.00%;KL17_07_wzy,98.87%,100.00%;KL17_08_wctR,99.56%,65.92%,truncated;KL17_09_wctS,100.00%,7.89%,truncated;KL17_10_wctT,98.75%,24.40%,truncated;KL17_11_wctU,100.00%,36.78%,truncated;KL17_12_wcaJ,99.57%,100.00%;KL17_13_wcmZ,99.67%,100.00%;KL17_14_wzx,100.00%,100.00%;KL17_15_gnd,99.36%,100.00%;KL17_16_rmlB,99.44%,100.00%;KL17_17_rmlA,100.00%,100.00%;KL17_18_rmlD,100.00%,100.00%;KL17_19_rmlC,99.46%,100.00%;KL17_20_ugd,99.48%,100.00%		0		0 / 20 (0.00%)		1	KL150_19_gmd,88.92%,100.00%	KL17_08_wctR,99.56%,65.92%,truncated;KL17_09_wctS,100.00%,7.89%,truncated;KL17_10_wctT,98.75%,24.40%,truncated;KL17_11_wctU,100.00%,36.78%,truncated
GCA_900452155.1_36725_F01_genomic	KL25	Capsule null	Typeable	!	99.55%	100.12%	25 bp	14 / 14 (100.00%)	KL25_01_galF,95.83%,12.75%,truncated;KL25_02_cpsACP,100.00%,47.37%,truncated;KL25_03_wzi,99.79%,100.00%;KL25_04_wza,100.00%,54.50%,truncated;KL25_05_wzb,98.46%,90.97%,truncated;KL25_06_wzc,99.86%,100.00%;KL25_07_wcaJ,100.00%,22.41%,truncated;KL25_08_wzy,100.00%,2.64%,truncated;KL25_09_wfeD,100.00%,1.80%,truncated;KL25_10,100.00%,100.00%;KL25_11_wcuB,100.00%,100.00%;KL25_12_wzx,99.76%,96.72%;KL25_13_gnd,100.00%,4.27%,truncated;KL25_14_ugd,100.00%,100.00%		0		0 / 14 (0.00%)		3	KL150_19_gmd,99.32%,94.61%,truncated;KL14_19_manC,100.00%,53.72%,truncated;KL30_19_manB,100.00%,5.56%,truncated	KL25_01_galF,95.83%,12.75%,truncated;KL25_02_cpsACP,100.00%,47.37%,truncated;KL25_04_wza,100.00%,54.50%,truncated;KL25_05_wzb,98.46%,90.97%,truncated;KL25_07_wcaJ,100.00%,22.41%,truncated;KL25_08_wzy,100.00%,2.64%,truncated;KL25_09_wfeD,100.00%,1.80%,truncated;KL25_13_gnd,100.00%,4.27%,truncated;KL150_19_gmd,99.32%,94.61%,truncated;KL14_19_manC,100.00%,53.72%,truncated;KL30_19_manB,100.00%,5.56%,truncated
GCA_900452165.1_41315_F02_genomic	KL3	Capsule null	Typeable	+!	96.20%	97.98%	778 bp	19 / 19 (100.00%)	KL3_01_galF,99.66%,100.00%;KL3_02_cpsACP,96.30%,71.30%,truncated;KL3_03_wzi,75.00%,1.67%,truncated,below_id_threshold;KL3_04_wza,100.00%,9.50%,truncated;KL3_05_wzb,100.00%,27.08%,truncated;KL3_06_wzc,95.65%,3.46%,truncated;KL3_07_wcaJ,90.70%,30.32%,truncated;KL3_08,98.63%,23.17%,truncated;KL3_09,99.70%,99.70%;KL3_10_pglJ,100.00%,100.00%;KL3_11,100.00%,13.39%,truncated;KL3_12,100.00%,12.69%,truncated;KL3_13_wzx,100.00%,5.47%,truncated;KL3_14,74.27%,47.30%,truncated,below_id_threshold;KL3_15_wbaZ,100.00%,35.68%,truncated;KL3_16_gnd,99.77%,91.99%,truncated;KL3_17_manC,100.00%,50.53%,truncated;KL3_18_manB,100.00%,8.99%,truncated;KL3_19_ugd,98.17%,86.86%,truncated		1	KL112_07_wbaP,88.28%,28.15%,truncated	0 / 19 (0.00%)		3	KL40_05_rfaG,98.94%,99.74%;KL105_18_rmlB,83.74%,35.31%,truncated;KL150_19_gmd,98.80%,100.00%	KL3_02_cpsACP,96.30%,71.30%,truncated;KL3_03_wzi,75.00%,1.67%,truncated,below_id_threshold;KL3_04_wza,100.00%,9.50%,truncated;KL3_05_wzb,100.00%,27.08%,truncated;KL3_06_wzc,95.65%,3.46%,truncated;KL3_07_wcaJ,90.70%,30.32%,truncated;KL3_08,98.63%,23.17%,truncated;KL3_11,100.00%,13.39%,truncated;KL3_12,100.00%,12.69%,truncated;KL3_13_wzx,100.00%,5.47%,truncated;KL3_14,74.27%,47.30%,truncated,below_id_threshold;KL3_15_wbaZ,100.00%,35.68%,truncated;KL3_16_gnd,99.77%,91.99%,truncated;KL3_17_manC,100.00%,50.53%,truncated;KL3_18_manB,100.00%,8.99%,truncated;KL3_19_ugd,98.17%,86.86%,truncated;KL112_07_wbaP,88.28%,28.15%,truncated;KL105_18_rmlB,83.74%,35.31%,truncated
GCA_900452175.1_36252_F01_genomic	KL124	unknown (KL124)	Typeable	!	99.40%	100.02%	7 bp	22 / 22 (100.00%)	KL124_01_galF,99.66%,100.00%;KL124_02_cpsACP,98.56%,100.00%;KL124_03_wzi,100.00%,100.00%;KL124_04_wza,100.00%,100.00%;KL124_05_wzb,100.00%,100.00%;KL124_06_wzc,99.86%,100.00%;KL124_07_wbaP,100.00%,100.00%;KL124_08_wctK,100.00%,100.00%;KL124_09_wcuP,100.00%,33.33%,truncated;KL124_10_wclJ,100.00%,75.54%,truncated;KL124_11_wzy,97.49%,92.23%,truncated;KL124_12,100.00%,19.61%,truncated;KL124_13_wcuA,93.42%,18.01%,truncated;KL124_14_wcaL,100.00%,100.00%;KL124_15_wzx,100.00%,100.00%;KL124_16_gnd,100.00%,100.00%;KL124_17_wclK,99.51%,100.00%;KL124_18_rmlB,99.72%,100.00%;KL124_19_rmlA,100.00%,100.00%;KL124_20_rmlD,100.00%,100.00%;KL124_21_rmlC,98.91%,100.00%;KL124_22_ugd,99.74%,100.00%		0		0 / 22 (0.00%)		2	KL40_05_rfaG,98.41%,99.21%;KL150_19_gmd,99.10%,100.00%	KL124_09_wcuP,100.00%,33.33%,truncated;KL124_10_wclJ,100.00%,75.54%,truncated;KL124_11_wzy,97.49%,92.23%,truncated;KL124_12,100.00%,19.61%,truncated;KL124_13_wcuA,93.42%,18.01%,truncated
